 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  10850 NFAC=1085 NLAY=  10 asp.ratio= 0.2690      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  10850 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.3692E-02 3.0000E-01 5.4750E-01 5.4322E-01 6.0084E-03  5.1668E-02 1.0000E+00 4.7276E-04     2
1.3692E-02 3.0500E-01 4.5616E-01 4.5335E-01 4.0287E-03  5.0491E-02 1.0000E+00 3.1292E-04     2
1.3692E-02 3.1000E-01 3.6347E-01 3.6166E-01 2.6260E-03  4.9130E-02 1.0000E+00 2.0245E-04     2
1.3692E-02 3.1500E-01 2.7105E-01 2.6971E-01 1.9517E-03  4.7444E-02 1.0000E+00 1.5073E-04     2
1.3692E-02 3.2000E-01 2.2945E-01 2.2770E-01 2.4740E-03  4.5412E-02 1.0000E+00 1.9571E-04     2
1.3692E-02 3.2500E-01 3.4337E-01 3.3863E-01 6.1726E-03  4.2143E-02 1.0000E+00 5.1851E-04     2
1.3692E-02 3.3000E-01 6.2432E-01 6.0896E-01 1.7778E-02  3.4764E-02 1.0000E+00 1.6011E-03     2
1.3692E-02 3.3500E-01 1.3508E+00 1.3008E+00 5.3500E-02  2.2065E-02 1.0000E+00 4.8733E-03     2
1.3692E-02 3.4000E-01 8.1319E-01 7.8644E-01 2.8368E-02  2.6465E-02 1.0000E+00 2.4570E-03     2
1.3692E-02 3.4500E-01 4.8765E-01 4.7563E-01 1.2741E-02  5.2034E-02 1.0000E+00 1.0488E-03     2
1.3692E-02 3.5000E-01 3.5477E-01 3.4631E-01 8.7235E-03  4.8316E-02 1.0000E+00 7.3750E-04     2
1.3692E-02 3.5500E-01 2.9824E-01 2.9106E-01 7.2755E-03  4.0892E-02 1.0000E+00 6.4551E-04     2
1.3692E-02 3.6000E-01 2.8022E-01 2.7323E-01 7.0314E-03  4.2890E-02 1.0000E+00 6.5005E-04     2
1.3692E-02 3.6500E-01 2.8588E-01 2.7775E-01 8.0633E-03  4.5220E-02 1.0000E+00 7.6424E-04     2
1.3692E-02 3.7000E-01 2.7431E-01 2.6521E-01 8.9687E-03  4.0317E-02 1.0000E+00 8.7588E-04     2
1.3692E-02 3.7500E-01 2.9901E-01 2.8861E-01 1.0366E-02  3.7911E-02 1.0000E+00 1.0254E-03     2
1.3692E-02 3.8000E-01 3.3236E-01 3.2086E-01 1.1689E-02  3.4881E-02 1.0000E+00 1.1625E-03     2
1.3692E-02 3.8500E-01 3.8484E-01 3.7257E-01 1.2876E-02  3.2204E-02 1.0000E+00 1.2804E-03     2
1.3692E-02 3.9000E-01 4.5939E-01 4.4580E-01 1.4753E-02  3.1124E-02 1.0000E+00 1.4603E-03     2
1.3692E-02 3.9500E-01 6.3369E-01 6.1571E-01 1.9769E-02  3.4940E-02 1.0000E+00 1.9116E-03     2
1.3692E-02 4.0000E-01 8.6132E-01 8.3524E-01 2.7759E-02  3.7844E-02 1.0000E+00 2.5940E-03     2
1.3692E-02 4.0500E-01 7.7856E-01 7.4843E-01 3.0069E-02  3.8418E-02 1.0000E+00 2.7913E-03     2
1.3692E-02 4.1000E-01 5.7887E-01 5.4960E-01 2.8094E-02  3.4374E-02 1.0000E+00 2.6960E-03     2
1.3692E-02 4.1500E-01 5.5109E-01 5.2009E-01 2.9561E-02  3.1718E-02 1.0000E+00 2.8957E-03     2
1.3692E-02 4.2000E-01 5.2118E-01 4.8786E-01 3.1584E-02  3.2891E-02 1.0000E+00 3.1174E-03     2
1.3692E-02 4.2500E-01 4.8647E-01 4.5018E-01 3.4270E-02  3.3125E-02 1.0000E+00 3.4033E-03     2
1.3692E-02 4.3000E-01 4.4056E-01 4.0126E-01 3.7156E-02  3.1166E-02 1.0000E+00 3.7219E-03     2
1.3692E-02 4.3500E-01 4.2107E-01 3.7888E-01 4.0103E-02  3.6663E-02 1.0000E+00 4.0326E-03     2
1.3692E-02 4.4000E-01 4.1358E-01 3.6539E-01 4.6058E-02  4.2261E-02 1.0000E+00 4.6310E-03     2
1.3692E-02 4.4500E-01 4.6013E-01 4.0290E-01 5.5167E-02  2.8003E-02 1.0000E+00 5.6415E-03     2
1.3692E-02 4.5000E-01 5.1063E-01 4.4223E-01 6.6377E-02 -8.3453E-03 1.0000E+00 7.0592E-03     2
1.3692E-02 4.5500E-01 6.1185E-01 5.2781E-01 8.1994E-02 -2.0152E-02 1.0000E+00 8.8592E-03     2
1.3692E-02 4.6000E-01 7.2839E-01 6.2319E-01 1.0317E-01 -1.4255E-02 1.0000E+00 1.1116E-02     2
1.3692E-02 4.6500E-01 9.4276E-01 8.0501E-01 1.3582E-01 -9.3182E-03 1.0000E+00 1.4587E-02     2
1.3692E-02 4.7000E-01 1.2662E+00 1.0829E+00 1.8154E-01 -6.0687E-03 1.0000E+00 1.9468E-02     2
1.3692E-02 4.7500E-01 1.7134E+00 1.4587E+00 2.5311E-01 -4.0653E-03 1.0000E+00 2.7125E-02     2
1.3692E-02 4.8000E-01 2.5668E+00 2.2013E+00 3.6415E-01 -2.6391E-03 1.0000E+00 3.9031E-02     2
1.3692E-02 4.8500E-01 3.8376E+00 3.3221E+00 5.1473E-01 -1.6897E-03 1.0000E+00 5.5197E-02     2
1.3692E-02 4.9000E-01 5.7305E+00 4.9433E+00 7.8722E-01 -1.0325E-03 1.0000E+00 8.4490E-02     2
1.3692E-02 4.9500E-01 9.6351E+00 8.2977E+00 1.3390E+00 -5.0910E-04 1.0000E+00 1.4389E-01     2
1.3692E-02 5.0000E-01 1.5718E+01 1.3563E+01 2.1596E+00 -1.0692E-04 1.0000E+00 2.3244E-01     2
1.3692E-02 5.0500E-01 1.8320E+01 1.5853E+01 2.4749E+00  2.0113E-04 1.0000E+00 2.6702E-01     2
1.3692E-02 5.1000E-01 1.3501E+01 1.1732E+01 1.7770E+00  3.9945E-04 1.0000E+00 1.9202E-01     2
1.3692E-02 5.1500E-01 8.2871E+00 7.1687E+00 1.1238E+00  5.2480E-04 1.0000E+00 1.2168E-01     2
1.3692E-02 5.2000E-01 4.7411E+00 4.1086E+00 6.3602E-01  6.2205E-04 1.0000E+00 6.8962E-02     2
1.3692E-02 5.2500E-01 3.3620E+00 2.9634E+00 4.0164E-01  6.7865E-04 1.0000E+00 4.3524E-02     2
1.3692E-02 5.3000E-01 2.4532E+00 2.1558E+00 2.9974E-01  7.0284E-04 1.0000E+00 3.2525E-02     2
1.3692E-02 5.3500E-01 1.6513E+00 1.4417E+00 2.1121E-01  7.6634E-04 1.0000E+00 2.2968E-02     2
1.3692E-02 5.4000E-01 1.2641E+00 1.1124E+00 1.5304E-01  8.3073E-04 1.0000E+00 1.6650E-02     2
1.3692E-02 5.4500E-01 1.0503E+00 9.3400E-01 1.1754E-01  8.0311E-04 1.0000E+00 1.2784E-02     2
1.3692E-02 5.5000E-01 9.6211E-01 8.6951E-01 9.3916E-02  7.2200E-04 1.0000E+00 1.0190E-02     2
1.3692E-02 5.5500E-01 9.4235E-01 8.6063E-01 8.3164E-02  6.0618E-04 1.0000E+00 8.9982E-03     2
1.3692E-02 5.6000E-01 8.0360E-01 7.2901E-01 7.5753E-02  4.7359E-04 1.0000E+00 8.2196E-03     2
1.3692E-02 5.6500E-01 6.0917E-01 5.4390E-01 6.6036E-02  3.7398E-04 1.0000E+00 7.1989E-03     2
1.3692E-02 5.7000E-01 4.7301E-01 4.1768E-01 5.5893E-02  3.0300E-04 1.0000E+00 6.1108E-03     2
1.3692E-02 5.7500E-01 3.9745E-01 3.4982E-01 4.8095E-02  2.3578E-04 1.0000E+00 5.2656E-03     2
1.3692E-02 5.8000E-01 3.3303E-01 2.9149E-01 4.1920E-02  1.4374E-04 1.0000E+00 4.5972E-03     2
1.3692E-02 5.8500E-01 2.9114E-01 2.5498E-01 3.6500E-02  1.3802E-04 1.0000E+00 4.0058E-03     2
1.3692E-02 5.9000E-01 2.6637E-01 2.3447E-01 3.2226E-02  4.7675E-05 1.0000E+00 3.5374E-03     2
1.3692E-02 5.9500E-01 2.3675E-01 2.0848E-01 2.8571E-02 -4.1930E-05 1.0000E+00 3.1389E-03     2
1.3692E-02 6.0000E-01 2.2277E-01 1.9772E-01 2.5347E-02 -1.2375E-04 1.0000E+00 2.7835E-03     2
1.3692E-02 6.0500E-01 2.2027E-01 1.9760E-01 2.2994E-02 -2.0426E-04 1.0000E+00 2.5210E-03     2
1.3692E-02 6.1000E-01 2.0845E-01 1.8771E-01 2.1054E-02 -2.9995E-04 1.0000E+00 2.3073E-03     2
1.3692E-02 6.1500E-01 1.9699E-01 1.7797E-01 1.9323E-02 -4.2691E-04 1.0000E+00 2.1170E-03     2
