 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=   9765 NFAC=1085 NLAY=   9 asp.ratio= 0.2421      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   9765 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.3220E-02 4.0000E-01 7.2647E-01 7.0616E-01 2.1191E-02  3.9209E-02 1.0000E+00 1.9609E-03     2
1.3220E-02 4.0500E-01 5.5709E-01 5.3596E-01 2.0599E-02  3.6820E-02 1.0000E+00 1.9429E-03     2
1.3220E-02 4.1000E-01 4.6888E-01 4.4737E-01 2.0565E-02  3.3896E-02 1.0000E+00 2.0005E-03     2
1.3220E-02 4.1500E-01 4.5079E-01 4.2673E-01 2.2811E-02  3.1791E-02 1.0000E+00 2.2367E-03     2
1.3220E-02 4.2000E-01 4.1139E-01 3.8646E-01 2.3539E-02  3.1810E-02 1.0000E+00 2.3336E-03     2
1.3220E-02 4.2500E-01 3.7315E-01 3.4650E-01 2.5088E-02  3.0799E-02 1.0000E+00 2.5024E-03     2
1.3220E-02 4.3000E-01 3.3589E-01 3.0778E-01 2.6564E-02  3.0485E-02 1.0000E+00 2.6710E-03     2
1.3220E-02 4.3500E-01 3.0199E-01 2.7181E-01 2.8626E-02  3.4659E-02 1.0000E+00 2.8932E-03     2
1.3220E-02 4.4000E-01 3.0968E-01 2.7544E-01 3.2625E-02  4.0389E-02 1.0000E+00 3.2975E-03     2
1.3220E-02 4.4500E-01 3.2481E-01 2.8531E-01 3.7963E-02  4.5320E-02 1.0000E+00 3.8232E-03     2
1.3220E-02 4.5000E-01 3.8975E-01 3.4367E-01 4.4616E-02  3.3792E-02 1.0000E+00 4.5548E-03     2
1.3220E-02 4.5500E-01 4.7793E-01 4.2340E-01 5.3155E-02 -5.6109E-03 1.0000E+00 5.6514E-03     2
1.3220E-02 4.6000E-01 5.0621E-01 4.4128E-01 6.3499E-02 -2.3007E-02 1.0000E+00 6.8922E-03     2
1.3220E-02 4.6500E-01 6.0953E-01 5.2861E-01 7.9509E-02 -1.6574E-02 1.0000E+00 8.5941E-03     2
1.3220E-02 4.7000E-01 7.6563E-01 6.6558E-01 9.8700E-02 -1.1026E-02 1.0000E+00 1.0627E-02     2
1.3220E-02 4.7500E-01 9.3074E-01 8.0364E-01 1.2583E-01 -7.6300E-03 1.0000E+00 1.3517E-02     2
1.3220E-02 4.8000E-01 1.2344E+00 1.0691E+00 1.6418E-01 -5.3722E-03 1.0000E+00 1.7615E-02     2
1.3220E-02 4.8500E-01 1.6553E+00 1.4410E+00 2.1326E-01 -3.7592E-03 1.0000E+00 2.2868E-02     2
1.3220E-02 4.9000E-01 2.1991E+00 1.9070E+00 2.9133E-01 -2.6049E-03 1.0000E+00 3.1242E-02     2
1.3220E-02 4.9500E-01 3.2326E+00 2.8011E+00 4.3105E-01 -1.7278E-03 1.0000E+00 4.6246E-02     2
1.3220E-02 5.0000E-01 5.2302E+00 4.5604E+00 6.7022E-01 -1.0359E-03 1.0000E+00 7.1933E-02     2
1.3220E-02 5.0500E-01 8.6468E+00 7.5947E+00 1.0543E+00 -5.3305E-04 1.0000E+00 1.1321E-01     2
1.3220E-02 5.1000E-01 1.3364E+01 1.1795E+01 1.5743E+00 -1.9627E-04 1.0000E+00 1.6918E-01     2
1.3220E-02 5.1500E-01 1.8423E+01 1.6189E+01 2.2437E+00  5.9749E-05 1.0000E+00 2.4159E-01     2
1.3220E-02 5.2000E-01 1.5627E+01 1.3741E+01 1.8957E+00  2.8768E-04 1.0000E+00 2.0458E-01     2
1.3220E-02 5.2500E-01 9.7268E+00 8.6675E+00 1.0670E+00  4.5342E-04 1.0000E+00 1.1508E-01     2
1.3220E-02 5.3000E-01 6.6756E+00 5.9466E+00 7.3462E-01  5.4435E-04 1.0000E+00 7.9290E-02     2
1.3220E-02 5.3500E-01 3.9877E+00 3.5245E+00 4.6660E-01  6.4667E-04 1.0000E+00 5.0476E-02     2
1.3220E-02 5.4000E-01 2.6571E+00 2.3625E+00 2.9719E-01  7.4631E-04 1.0000E+00 3.2160E-02     2
1.3220E-02 5.4500E-01 1.9880E+00 1.7833E+00 2.0690E-01  7.6996E-04 1.0000E+00 2.2378E-02     2
1.3220E-02 5.5000E-01 1.6919E+00 1.5411E+00 1.5302E-01  7.4400E-04 1.0000E+00 1.6503E-02     2
1.3220E-02 5.5500E-01 1.6058E+00 1.4764E+00 1.3171E-01  6.5979E-04 1.0000E+00 1.4161E-02     2
1.3220E-02 5.6000E-01 1.3232E+00 1.2071E+00 1.1795E-01  5.5937E-04 1.0000E+00 1.2727E-02     2
1.3220E-02 5.6500E-01 9.6883E-01 8.7105E-01 9.8955E-02  4.9199E-04 1.0000E+00 1.0727E-02     2
1.3220E-02 5.7000E-01 7.4189E-01 6.6195E-01 8.0800E-02  4.3115E-04 1.0000E+00 8.7800E-03     2
1.3220E-02 5.7500E-01 6.1279E-01 5.4546E-01 6.8044E-02  3.8092E-04 1.0000E+00 7.4028E-03     2
1.3220E-02 5.8000E-01 4.8804E-01 4.3071E-01 5.7880E-02  3.4558E-04 1.0000E+00 6.3104E-03     2
1.3220E-02 5.8500E-01 4.1253E-01 3.6404E-01 4.8964E-02  3.6892E-04 1.0000E+00 5.3425E-03     2
1.3220E-02 5.9000E-01 3.6450E-01 3.2282E-01 4.2110E-02  2.9110E-04 1.0000E+00 4.5962E-03     2
1.3220E-02 5.9500E-01 3.2563E-01 2.8967E-01 3.6364E-02  2.2512E-04 1.0000E+00 3.9695E-03     2
1.3220E-02 6.0000E-01 3.1265E-01 2.8123E-01 3.1853E-02  1.4182E-04 1.0000E+00 3.4716E-03     2
