 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  11935 NFAC=1085 NLAY=  11 asp.ratio= 0.2960      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  11935 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.4134E-02 4.0000E-01 9.7072E-01 9.3841E-01 3.4710E-02  3.6475E-02 1.0000E+00 3.2921E-03     2
1.4134E-02 4.0500E-01 9.6685E-01 9.2808E-01 3.9426E-02  3.8251E-02 1.0000E+00 3.6739E-03     2
1.4134E-02 4.1000E-01 8.0476E-01 7.6373E-01 4.0102E-02  3.5099E-02 1.0000E+00 3.7804E-03     2
1.4134E-02 4.1500E-01 6.8621E-01 6.4512E-01 3.9425E-02  3.2598E-02 1.0000E+00 3.8126E-03     2
1.4134E-02 4.2000E-01 6.4472E-01 6.0190E-01 4.0831E-02  3.3145E-02 1.0000E+00 4.0018E-03     2
1.4134E-02 4.2500E-01 5.8041E-01 5.3280E-01 4.5100E-02  3.4515E-02 1.0000E+00 4.4451E-03     2
1.4134E-02 4.3000E-01 5.5330E-01 5.0095E-01 4.9622E-02  3.0832E-02 1.0000E+00 4.9741E-03     2
1.4134E-02 4.3500E-01 5.4468E-01 4.8594E-01 5.5921E-02  3.6518E-02 1.0000E+00 5.6177E-03     2
1.4134E-02 4.4000E-01 5.6715E-01 4.9926E-01 6.5061E-02  3.0140E-02 1.0000E+00 6.6030E-03     2
1.4134E-02 4.4500E-01 5.9585E-01 5.1363E-01 7.9417E-02 -8.8181E-03 1.0000E+00 8.4134E-03     2
1.4134E-02 4.5000E-01 6.7681E-01 5.7558E-01 9.8387E-02 -1.5738E-02 1.0000E+00 1.0552E-02     2
1.4134E-02 4.5500E-01 8.6153E-01 7.3208E-01 1.2661E-01 -1.2998E-02 1.0000E+00 1.3598E-02     2
1.4134E-02 4.6000E-01 1.0996E+00 9.2795E-01 1.6887E-01 -8.5738E-03 1.0000E+00 1.8103E-02     2
1.4134E-02 4.6500E-01 1.5557E+00 1.3139E+00 2.3936E-01 -5.4853E-03 1.0000E+00 2.5626E-02     2
1.4134E-02 4.7000E-01 2.2362E+00 1.8883E+00 3.4567E-01 -3.4906E-03 1.0000E+00 3.7013E-02     2
1.4134E-02 4.7500E-01 3.4021E+00 2.8555E+00 5.4489E-01 -2.1659E-03 1.0000E+00 5.8389E-02     2
1.4134E-02 4.8000E-01 5.8492E+00 4.9484E+00 8.9999E-01 -1.1947E-03 1.0000E+00 9.6572E-02     2
1.4134E-02 4.8500E-01 9.5993E+00 8.1962E+00 1.4040E+00 -5.6633E-04 1.0000E+00 1.5086E-01     2
1.4134E-02 4.9000E-01 1.5491E+01 1.3164E+01 2.3308E+00 -1.1840E-04 1.0000E+00 2.5095E-01     2
1.4134E-02 4.9500E-01 1.8041E+01 1.5379E+01 2.6692E+00  2.3482E-04 1.0000E+00 2.8819E-01     2
1.4134E-02 5.0000E-01 1.2857E+01 1.1031E+01 1.8341E+00  4.7261E-04 1.0000E+00 1.9844E-01     2
1.4134E-02 5.0500E-01 7.9280E+00 6.8219E+00 1.1114E+00  6.4402E-04 1.0000E+00 1.2044E-01     2
1.4134E-02 5.1000E-01 5.0871E+00 4.3860E+00 7.0496E-01  7.3638E-04 1.0000E+00 7.6504E-02     2
1.4134E-02 5.1500E-01 3.2432E+00 2.7784E+00 4.6737E-01  7.6905E-04 1.0000E+00 5.0829E-02     2
1.4134E-02 5.2000E-01 2.1338E+00 1.8279E+00 3.0763E-01  7.7593E-04 1.0000E+00 3.3517E-02     2
1.4134E-02 5.2500E-01 1.6971E+00 1.4802E+00 2.1861E-01  7.6564E-04 1.0000E+00 2.3816E-02     2
1.4134E-02 5.3000E-01 1.3306E+00 1.1577E+00 1.7425E-01  7.4298E-04 1.0000E+00 1.9010E-02     2
1.4134E-02 5.3500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.4000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.4500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.5000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.5500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.6000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.6500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.7000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.7500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.8000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.8500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.9000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 5.9500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.4134E-02 6.0000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
