 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  31250 NFAC=3125 NLAY=  10 asp.ratio= 0.1585      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  31250 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.9524E-02 3.0000E-01 7.3000E-01 7.1505E-01 1.8287E-02  1.4956E-01 1.0000E+00 1.4727E-03     2
1.9524E-02 3.0500E-01 6.1260E-01 6.0266E-01 1.2726E-02  1.4585E-01 1.0000E+00 9.8938E-04     2
1.9524E-02 3.1000E-01 4.9474E-01 4.8825E-01 8.6419E-03  1.4234E-01 1.0000E+00 6.5294E-04     2
1.9524E-02 3.1500E-01 3.8132E-01 3.7634E-01 6.6523E-03  1.3841E-01 1.0000E+00 5.0466E-04     2
1.9524E-02 3.2000E-01 3.4238E-01 3.3550E-01 8.4906E-03  1.3367E-01 1.0000E+00 6.9337E-04     2
1.9524E-02 3.2500E-01 5.7514E-01 5.5411E-01 2.3100E-02  1.2529E-01 1.0000E+00 2.0301E-03     2
1.9524E-02 3.3000E-01 1.1635E+00 1.0876E+00 7.8159E-02  1.0306E-01 1.0000E+00 6.9082E-03     2
1.9524E-02 3.3500E-01 1.0615E+00 9.6913E-01 9.3474E-02  1.3356E-01 1.0000E+00 7.5169E-03     2
1.9524E-02 3.4000E-01 6.4321E-01 5.9778E-01 4.5908E-02  1.9285E-01 1.0000E+00 3.3653E-03     2
1.9524E-02 3.4500E-01 4.7983E-01 4.4724E-01 3.2682E-02  1.5097E-01 1.0000E+00 2.5060E-03     2
1.9524E-02 3.5000E-01 3.4982E-01 3.2357E-01 2.5892E-02  1.3104E-01 1.0000E+00 2.0610E-03     2
1.9524E-02 3.5500E-01 3.0027E-01 2.7650E-01 2.3006E-02  1.1257E-01 1.0000E+00 1.9475E-03     2
1.9524E-02 3.6000E-01 3.0522E-01 2.8134E-01 2.2793E-02  1.0549E-01 1.0000E+00 2.0359E-03     2
1.9524E-02 3.6500E-01 3.6033E-01 3.3371E-01 2.5497E-02  9.7013E-02 1.0000E+00 2.3349E-03     2
1.9524E-02 3.7000E-01 3.9090E-01 3.6619E-01 2.3781E-02  9.5273E-02 1.0000E+00 2.1790E-03     2
1.9524E-02 3.7500E-01 3.1552E-01 2.9312E-01 2.1275E-02  1.0263E-01 1.0000E+00 1.9567E-03     2
1.9524E-02 3.8000E-01 2.7202E-01 2.4791E-01 2.2828E-02  1.0428E-01 1.0000E+00 2.1490E-03     2
1.9524E-02 3.8500E-01 2.9143E-01 2.6472E-01 2.5652E-02  1.0889E-01 1.0000E+00 2.4505E-03     2
1.9524E-02 3.9000E-01 3.8823E-01 3.5731E-01 3.0504E-02  1.1905E-01 1.0000E+00 2.8966E-03     2
1.9524E-02 3.9500E-01 6.0080E-01 5.6088E-01 4.0058E-02  1.3981E-01 1.0000E+00 3.6206E-03     2
1.9524E-02 4.0000E-01 6.1767E-01 5.6853E-01 4.7936E-02  1.4001E-01 1.0000E+00 4.1684E-03     2
1.9524E-02 4.0500E-01 4.8314E-01 4.3192E-01 4.9195E-02  1.1945E-01 1.0000E+00 4.3560E-03     2
1.9524E-02 4.1000E-01 3.9656E-01 3.4361E-01 5.0544E-02  1.0555E-01 1.0000E+00 4.5710E-03     2
1.9524E-02 4.1500E-01 3.4964E-01 2.9338E-01 5.3740E-02  9.9017E-02 1.0000E+00 4.8871E-03     2
1.9524E-02 4.2000E-01 2.8756E-01 2.2900E-01 5.6063E-02  9.3397E-02 1.0000E+00 5.1429E-03     2
1.9524E-02 4.2500E-01 2.4651E-01 1.8529E-01 5.8758E-02  8.7648E-02 1.0000E+00 5.4600E-03     2
1.9524E-02 4.3000E-01 2.3718E-01 1.7317E-01 6.1484E-02  8.4465E-02 1.0000E+00 5.7905E-03     2
1.9524E-02 4.3500E-01 2.3477E-01 1.6798E-01 6.4218E-02  8.2883E-02 1.0000E+00 6.0985E-03     2
1.9524E-02 4.4000E-01 2.4141E-01 1.7082E-01 6.8000E-02  8.1737E-02 1.0000E+00 6.5066E-03     2
1.9524E-02 4.4500E-01 2.4393E-01 1.6999E-01 7.1360E-02  8.3892E-02 1.0000E+00 6.8318E-03     2
1.9524E-02 4.5000E-01 2.4769E-01 1.6873E-01 7.6338E-02  8.6397E-02 1.0000E+00 7.3120E-03     2
1.9524E-02 4.5500E-01 2.6105E-01 1.7475E-01 8.3621E-02  9.0762E-02 1.0000E+00 8.0004E-03     2
1.9524E-02 4.6000E-01 2.9387E-01 1.9909E-01 9.2054E-02  9.8340E-02 1.0000E+00 8.7747E-03     2
1.9524E-02 4.6500E-01 3.2998E-01 2.2628E-01 1.0098E-01  1.0987E-01 1.0000E+00 9.5490E-03     2
1.9524E-02 4.7000E-01 3.8341E-01 2.6851E-01 1.1225E-01  1.2457E-01 1.0000E+00 1.0477E-02     2
1.9524E-02 4.7500E-01 4.6755E-01 3.4161E-01 1.2325E-01  1.4474E-01 1.0000E+00 1.1289E-02     2
1.9524E-02 4.8000E-01 5.9501E-01 4.5783E-01 1.3443E-01  1.6160E-01 1.0000E+00 1.2105E-02     2
1.9524E-02 4.8500E-01 7.5506E-01 6.0487E-01 1.4784E-01  1.1793E-01 1.0000E+00 1.3945E-02     2
1.9524E-02 4.9000E-01 7.9056E-01 6.2515E-01 1.6354E-01 -2.3484E-02 1.0000E+00 1.7757E-02     2
1.9524E-02 4.9500E-01 7.1509E-01 5.3260E-01 1.8089E-01 -8.2861E-02 1.0000E+00 2.0697E-02     2
1.9524E-02 5.0000E-01 7.0719E-01 5.0604E-01 1.9973E-01 -7.6770E-02 1.0000E+00 2.2723E-02     2
1.9524E-02 5.0500E-01 7.3095E-01 5.1078E-01 2.1890E-01 -5.8654E-02 1.0000E+00 2.4513E-02     2
1.9524E-02 5.1000E-01 7.4918E-01 5.0294E-01 2.4520E-01 -4.3706E-02 1.0000E+00 2.7095E-02     2
1.9524E-02 5.1500E-01 8.2479E-01 5.4192E-01 2.8198E-01 -3.3791E-02 1.0000E+00 3.0909E-02     2
1.9524E-02 5.2000E-01 9.3930E-01 6.1459E-01 3.2390E-01 -2.6975E-02 1.0000E+00 3.5335E-02     2
1.9524E-02 5.2500E-01 1.0753E+00 6.9513E-01 3.7940E-01 -2.0618E-02 1.0000E+00 4.1205E-02     2
1.9524E-02 5.3000E-01 1.3066E+00 8.5213E-01 4.5379E-01 -1.5491E-02 1.0000E+00 4.9124E-02     2
1.9524E-02 5.3500E-01 1.6089E+00 1.0636E+00 5.4460E-01 -1.1781E-02 1.0000E+00 5.8838E-02     2
1.9524E-02 5.4000E-01 2.0159E+00 1.3540E+00 6.6128E-01 -8.9299E-03 1.0000E+00 7.1353E-02     2
1.9524E-02 5.4500E-01 2.5397E+00 1.7339E+00 8.0509E-01 -6.7786E-03 1.0000E+00 8.6806E-02     2
1.9524E-02 5.5000E-01 3.1307E+00 2.1421E+00 9.8807E-01 -5.2180E-03 1.0000E+00 1.0649E-01     2
1.9524E-02 5.5500E-01 3.8286E+00 2.5792E+00 1.2489E+00 -4.0340E-03 1.0000E+00 1.3458E-01     2
1.9524E-02 5.6000E-01 4.9208E+00 3.2837E+00 1.6367E+00 -3.0310E-03 1.0000E+00 1.7637E-01     2
1.9524E-02 5.6500E-01 6.5064E+00 4.3134E+00 2.1927E+00 -2.2363E-03 1.0000E+00 2.3631E-01     2
1.9524E-02 5.7000E-01 9.0092E+00 5.9304E+00 3.0788E+00 -1.5612E-03 1.0000E+00 3.3188E-01     2
1.9524E-02 5.7500E-01 1.2980E+01 8.5675E+00 4.4132E+00 -9.9934E-04 1.0000E+00 4.7591E-01     2
1.9524E-02 5.8000E-01 1.8269E+01 1.2026E+01 6.2438E+00 -5.8197E-04 1.0000E+00 6.7359E-01     2
1.9524E-02 5.8500E-01 2.6970E+01 1.7296E+01 9.6757E+00 -2.0301E-04 1.0000E+00 1.0446E+00     2
1.9524E-02 5.9000E-01 3.3367E+01 2.1337E+01 1.2034E+01  1.3837E-04 1.0000E+00 1.3020E+00     2
1.9524E-02 5.9500E-01 2.6817E+01 1.7491E+01 9.3300E+00  3.9578E-04 1.0000E+00 1.0114E+00     2
1.9524E-02 6.0000E-01 1.8123E+01 1.2151E+01 5.9756E+00  5.7556E-04 1.0000E+00 6.4827E-01     2
1.9524E-02 6.0500E-01 1.2520E+01 8.5873E+00 3.9353E+00  6.9182E-04 1.0000E+00 4.2715E-01     2
1.9524E-02 6.1000E-01 9.1275E+00 6.3802E+00 2.7493E+00  7.5517E-04 1.0000E+00 2.9853E-01     2
1.9524E-02 6.1500E-01 6.9123E+00 4.8516E+00 2.0624E+00  7.6641E-04 1.0000E+00 2.2406E-01     2
