 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  34375 NFAC=3125 NLAY=  11 asp.ratio= 0.1744      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  34375 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
2.0154E-02 5.0000E-01 8.6922E-01 5.7724E-01 2.9055E-01 -4.3968E-02 1.0000E+00 3.2063E-02     2
2.0154E-02 5.0500E-01 9.6845E-01 6.4132E-01 3.2584E-01 -3.3071E-02 1.0000E+00 3.5649E-02     2
2.0154E-02 5.1000E-01 1.0482E+00 6.7276E-01 3.7439E-01 -2.5214E-02 1.0000E+00 4.0709E-02     2
2.0154E-02 5.1500E-01 1.2047E+00 7.6108E-01 4.4264E-01 -1.9610E-02 1.0000E+00 4.7957E-02     2
2.0154E-02 5.2000E-01 1.4253E+00 8.9949E-01 5.2493E-01 -1.5522E-02 1.0000E+00 5.6754E-02     2
2.0154E-02 5.2500E-01 1.7134E+00 1.0715E+00 6.4108E-01 -1.1784E-02 1.0000E+00 6.9183E-02     2
2.0154E-02 5.3000E-01 2.1935E+00 1.3904E+00 8.0238E-01 -8.7739E-03 1.0000E+00 8.6490E-02     2
2.0154E-02 5.3500E-01 2.8305E+00 1.8162E+00 1.0136E+00 -6.5373E-03 1.0000E+00 1.0920E-01     2
2.0154E-02 5.4000E-01 3.7710E+00 2.4584E+00 1.3119E+00 -4.7546E-03 1.0000E+00 1.4131E-01     2
2.0154E-02 5.4500E-01 5.0652E+00 3.3611E+00 1.7035E+00 -3.4060E-03 1.0000E+00 1.8349E-01     2
2.0154E-02 5.5000E-01 6.7445E+00 4.4747E+00 2.2694E+00 -2.4136E-03 1.0000E+00 2.4450E-01     2
2.0154E-02 5.5500E-01 9.1823E+00 6.0111E+00 3.1710E+00 -1.6549E-03 1.0000E+00 3.4173E-01     2
2.0154E-02 5.6000E-01 1.3077E+01 8.4946E+00 4.5825E+00 -1.0324E-03 1.0000E+00 4.9407E-01     2
2.0154E-02 5.6500E-01 1.8831E+01 1.2117E+01 6.7156E+00 -5.4703E-04 1.0000E+00 7.2453E-01     2
2.0154E-02 5.7000E-01 2.6285E+01 1.6756E+01 9.5318E+00 -1.3996E-04 1.0000E+00 1.0296E+00     2
2.0154E-02 5.7500E-01 2.9699E+01 1.8993E+01 1.0709E+01  1.7905E-04 1.0000E+00 1.1587E+00     2
2.0154E-02 5.8000E-01 2.6472E+01 1.6849E+01 9.6266E+00  3.9567E-04 1.0000E+00 1.0431E+00     2
2.0154E-02 5.8500E-01 1.9147E+01 1.1896E+01 7.2535E+00  5.7892E-04 1.0000E+00 7.8704E-01     2
2.0154E-02 5.9000E-01 1.2072E+01 7.4972E+00 4.5768E+00  7.4808E-04 1.0000E+00 4.9704E-01     2
2.0154E-02 5.9500E-01 8.0438E+00 5.0995E+00 2.9459E+00  8.5742E-04 1.0000E+00 3.2011E-01     2
2.0154E-02 6.0000E-01 5.8322E+00 3.7943E+00 2.0392E+00  9.0936E-04 1.0000E+00 2.2170E-01     2
2.0154E-02 6.0500E-01 4.5137E+00 3.0103E+00 1.5045E+00  9.1526E-04 1.0000E+00 1.6366E-01     2
2.0154E-02 6.1000E-01 3.6385E+00 2.4720E+00 1.1674E+00  8.8375E-04 1.0000E+00 1.2706E-01     2
2.0154E-02 6.1500E-01 2.9732E+00 2.0306E+00 9.4341E-01  8.0650E-04 1.0000E+00 1.0275E-01     2
2.0154E-02 6.2000E-01 2.4055E+00 1.6279E+00 7.7837E-01  7.1315E-04 1.0000E+00 8.4834E-02     2
2.0154E-02 6.2500E-01 1.9234E+00 1.2781E+00 6.4591E-01  6.1685E-04 1.0000E+00 7.0451E-02     2
2.0154E-02 6.3000E-01 1.5720E+00 1.0349E+00 5.3752E-01  5.3078E-04 1.0000E+00 5.8669E-02     2
2.0154E-02 6.3500E-01 1.3099E+00 8.5649E-01 4.5375E-01  4.5000E-04 1.0000E+00 4.9556E-02     2
2.0154E-02 6.4000E-01 1.1038E+00 7.1899E-01 3.8514E-01  3.4659E-04 1.0000E+00 4.2092E-02     2
2.0154E-02 6.4500E-01 9.6739E-01 6.3822E-01 3.2947E-01  2.3924E-04 1.0000E+00 3.6029E-02     2
2.0154E-02 6.5000E-01 8.8740E-01 6.0082E-01 2.8689E-01  1.0388E-04 1.0000E+00 3.1389E-02     2
2.0154E-02 6.5500E-01 8.2666E-01 5.7145E-01 2.5552E-01 -4.4195E-05 1.0000E+00 2.7970E-02     2
2.0154E-02 6.6000E-01 7.4722E-01 5.1763E-01 2.2986E-01 -2.4312E-04 1.0000E+00 2.5178E-02     2
2.0154E-02 6.6500E-01 6.5327E-01 4.4607E-01 2.0744E-01 -4.4937E-04 1.0000E+00 2.2738E-02     2
2.0154E-02 6.7000E-01 5.6442E-01 3.7990E-01 1.8472E-01 -6.1598E-04 1.0000E+00 2.0261E-02     2
2.0154E-02 6.7500E-01 5.2040E-01 3.5526E-01 1.6534E-01 -7.4598E-04 1.0000E+00 1.8143E-02     2
2.0154E-02 6.8000E-01 4.9524E-01 3.4504E-01 1.5040E-01 -9.0322E-04 1.0000E+00 1.6512E-02     2
2.0154E-02 6.8500E-01 4.3843E-01 2.9966E-01 1.3893E-01 -9.5887E-04 1.0000E+00 1.5261E-02     2
2.0154E-02 6.9000E-01 3.6699E-01 2.4161E-01 1.2551E-01 -9.0236E-04 1.0000E+00 1.3794E-02     2
2.0154E-02 6.9500E-01 3.4583E-01 2.3320E-01 1.1276E-01 -1.1513E-03 1.0000E+00 1.2400E-02     2
2.0154E-02 7.0000E-01 3.4552E-01 2.4151E-01 1.0416E-01 -1.4047E-03 1.0000E+00 1.1458E-02     2
