 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  25090 NFAC=2509 NLAY=  10 asp.ratio= 0.1769      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  25090 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.8157E-02 3.0000E-01 6.8902E-01 6.7733E-01 1.4807E-02  1.1995E-01 1.0000E+00 1.1910E-03     2
1.8157E-02 3.0500E-01 5.7719E-01 5.6945E-01 1.0239E-02  1.1705E-01 1.0000E+00 7.9714E-04     2
1.8157E-02 3.1000E-01 4.6484E-01 4.5979E-01 6.8927E-03  1.1419E-01 1.0000E+00 5.2380E-04     2
1.8157E-02 3.1500E-01 3.5585E-01 3.5201E-01 5.2679E-03  1.1084E-01 1.0000E+00 4.0173E-04     2
1.8157E-02 3.2000E-01 3.1560E-01 3.1035E-01 6.7048E-03  1.0677E-01 1.0000E+00 5.4555E-04     2
1.8157E-02 3.2500E-01 5.1982E-01 5.0409E-01 1.7786E-02  9.9538E-02 1.0000E+00 1.5726E-03     2
1.8157E-02 3.3000E-01 1.0669E+00 1.0090E+00 6.0433E-02  7.9756E-02 1.0000E+00 5.4699E-03     2
1.8157E-02 3.3500E-01 1.1208E+00 1.0342E+00 8.7845E-02  7.6381E-02 1.0000E+00 7.5428E-03     2
1.8157E-02 3.4000E-01 6.3477E-01 5.9648E-01 3.8874E-02  1.5752E-01 1.0000E+00 2.9563E-03     2
1.8157E-02 3.4500E-01 4.8079E-01 4.5455E-01 2.6426E-02  1.2428E-01 1.0000E+00 2.0857E-03     2
1.8157E-02 3.5000E-01 3.4866E-01 3.2767E-01 2.0687E-02  1.0622E-01 1.0000E+00 1.6944E-03     2
1.8157E-02 3.5500E-01 2.9640E-01 2.7754E-01 1.8178E-02  9.1146E-02 1.0000E+00 1.5838E-03     2
1.8157E-02 3.6000E-01 3.1621E-01 2.9704E-01 1.8324E-02  8.2066E-02 1.0000E+00 1.6864E-03     2
1.8157E-02 3.6500E-01 3.8542E-01 3.6580E-01 1.9018E-02  8.1570E-02 1.0000E+00 1.7495E-03     2
1.8157E-02 3.7000E-01 3.1921E-01 3.0148E-01 1.6932E-02  8.5565E-02 1.0000E+00 1.5623E-03     2
1.8157E-02 3.7500E-01 2.7861E-01 2.5954E-01 1.8049E-02  8.9062E-02 1.0000E+00 1.7049E-03     2
1.8157E-02 3.8000E-01 2.6797E-01 2.4682E-01 2.0078E-02  9.0258E-02 1.0000E+00 1.9336E-03     2
1.8157E-02 3.8500E-01 3.1019E-01 2.8682E-01 2.2591E-02  9.1255E-02 1.0000E+00 2.1979E-03     2
1.8157E-02 3.9000E-01 3.8910E-01 3.6259E-01 2.6312E-02  9.0251E-02 1.0000E+00 2.5654E-03     2
1.8157E-02 3.9500E-01 5.6200E-01 5.2862E-01 3.3522E-02  9.6810E-02 1.0000E+00 3.1594E-03     2
1.8157E-02 4.0000E-01 6.2739E-01 5.8638E-01 4.0410E-02  9.5772E-02 1.0000E+00 3.7011E-03     2
1.8157E-02 4.0500E-01 5.2596E-01 4.8157E-01 4.2703E-02  9.0212E-02 1.0000E+00 3.9040E-03     2
1.8157E-02 4.1000E-01 4.5359E-01 4.0670E-01 4.4724E-02  8.2331E-02 1.0000E+00 4.1369E-03     2
1.8157E-02 4.1500E-01 3.9595E-01 3.4611E-01 4.7412E-02  7.8735E-02 1.0000E+00 4.4005E-03     2
1.8157E-02 4.2000E-01 3.1358E-01 2.6159E-01 4.9545E-02  7.4689E-02 1.0000E+00 4.6288E-03     2
1.8157E-02 4.2500E-01 2.7659E-01 2.2246E-01 5.1681E-02  7.1675E-02 1.0000E+00 4.8879E-03     2
1.8157E-02 4.3000E-01 2.5169E-01 1.9510E-01 5.4202E-02  7.0428E-02 1.0000E+00 5.1662E-03     2
1.8157E-02 4.3500E-01 2.4325E-01 1.8364E-01 5.7197E-02  7.0266E-02 1.0000E+00 5.4995E-03     2
1.8157E-02 4.4000E-01 2.5543E-01 1.9190E-01 6.1084E-02  7.2207E-02 1.0000E+00 5.8964E-03     2
1.8157E-02 4.4500E-01 2.5483E-01 1.8706E-01 6.5321E-02  7.6388E-02 1.0000E+00 6.2985E-03     2
1.8157E-02 4.5000E-01 2.6444E-01 1.9037E-01 7.1608E-02  8.0705E-02 1.0000E+00 6.9142E-03     2
1.8157E-02 4.5500E-01 3.0432E-01 2.2176E-01 8.0046E-02  8.8609E-02 1.0000E+00 7.7093E-03     2
1.8157E-02 4.6000E-01 3.8685E-01 2.9596E-01 8.8328E-02  1.0458E-01 1.0000E+00 8.4044E-03     2
1.8157E-02 4.6500E-01 4.5342E-01 3.5343E-01 9.7391E-02  1.1353E-01 1.0000E+00 9.2138E-03     2
1.8157E-02 4.7000E-01 5.7541E-01 4.6225E-01 1.1065E-01  1.0518E-01 1.0000E+00 1.0574E-02     2
1.8157E-02 4.7500E-01 6.9630E-01 5.7042E-01 1.2356E-01  3.5506E-02 1.0000E+00 1.2688E-02     2
1.8157E-02 4.8000E-01 6.8946E-01 5.5235E-01 1.3494E-01 -4.8192E-02 1.0000E+00 1.4998E-02     2
1.8157E-02 4.8500E-01 6.3546E-01 4.8442E-01 1.4915E-01 -5.7108E-02 1.0000E+00 1.6685E-02     2
1.8157E-02 4.9000E-01 6.3951E-01 4.6881E-01 1.6911E-01 -4.8846E-02 1.0000E+00 1.8764E-02     2
1.8157E-02 4.9500E-01 6.9399E-01 4.9886E-01 1.9374E-01 -3.7882E-02 1.0000E+00 2.1294E-02     2
1.8157E-02 5.0000E-01 7.9490E-01 5.6994E-01 2.2372E-01 -2.8723E-02 1.0000E+00 2.4407E-02     2
1.8157E-02 5.0500E-01 9.2944E-01 6.6976E-01 2.5854E-01 -2.1942E-02 1.0000E+00 2.8068E-02     2
1.8157E-02 5.1000E-01 1.0741E+00 7.7389E-01 2.9918E-01 -1.6835E-02 1.0000E+00 3.2370E-02     2
1.8157E-02 5.1500E-01 1.2359E+00 8.7868E-01 3.5633E-01 -1.2690E-02 1.0000E+00 3.8453E-02     2
1.8157E-02 5.2000E-01 1.5010E+00 1.0655E+00 4.3465E-01 -9.5504E-03 1.0000E+00 4.6834E-02     2
1.8157E-02 5.2500E-01 1.9080E+00 1.3665E+00 5.4061E-01 -7.2402E-03 1.0000E+00 5.8217E-02     2
1.8157E-02 5.3000E-01 2.4601E+00 1.7792E+00 6.8013E-01 -5.4500E-03 1.0000E+00 7.3223E-02     2
1.8157E-02 5.3500E-01 3.2415E+00 2.3491E+00 8.9175E-01 -3.9778E-03 1.0000E+00 9.6000E-02     2
1.8157E-02 5.4000E-01 4.4359E+00 3.2405E+00 1.1949E+00 -2.8073E-03 1.0000E+00 1.2865E-01     2
1.8157E-02 5.4500E-01 6.2645E+00 4.6168E+00 1.6473E+00 -1.9129E-03 1.0000E+00 1.7743E-01     2
1.8157E-02 5.5000E-01 8.8466E+00 6.5257E+00 2.3209E+00 -1.2420E-03 1.0000E+00 2.5007E-01     2
1.8157E-02 5.5500E-01 1.3000E+01 9.5105E+00 3.4897E+00 -7.1053E-04 1.0000E+00 3.7621E-01     2
1.8157E-02 5.6000E-01 1.8902E+01 1.3906E+01 4.9982E+00 -2.9366E-04 1.0000E+00 5.3935E-01     2
1.8157E-02 5.6500E-01 2.4291E+01 1.7939E+01 6.3551E+00  2.4745E-06 1.0000E+00 6.8662E-01     2
1.8157E-02 5.7000E-01 2.6160E+01 1.9226E+01 6.9386E+00  2.3448E-04 1.0000E+00 7.5069E-01     2
1.8157E-02 5.7500E-01 2.2112E+01 1.6120E+01 5.9962E+00  4.2135E-04 1.0000E+00 6.4965E-01     2
1.8157E-02 5.8000E-01 1.5285E+01 1.1103E+01 4.1856E+00  5.7319E-04 1.0000E+00 4.5411E-01     2
1.8157E-02 5.8500E-01 1.0538E+01 7.7646E+00 2.7766E+00  6.8327E-04 1.0000E+00 3.0139E-01     2
1.8157E-02 5.9000E-01 7.5053E+00 5.5298E+00 1.9777E+00  7.4044E-04 1.0000E+00 2.1477E-01     2
1.8157E-02 5.9500E-01 5.2623E+00 3.8486E+00 1.4152E+00  7.7634E-04 1.0000E+00 1.5380E-01     2
1.8157E-02 6.0000E-01 3.8255E+00 2.8009E+00 1.0258E+00  7.8954E-04 1.0000E+00 1.1156E-01     2
1.8157E-02 6.0500E-01 2.9751E+00 2.1997E+00 7.7641E-01  7.7851E-04 1.0000E+00 8.4494E-02     2
1.8157E-02 6.1000E-01 2.3649E+00 1.7555E+00 6.1025E-01  7.5576E-04 1.0000E+00 6.6451E-02     2
1.8157E-02 6.1500E-01 1.9349E+00 1.4487E+00 4.8699E-01  7.1378E-04 1.0000E+00 5.3061E-02     2
