 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=   5620 NFAC=1124 NLAY=   5 asp.ratio= 0.1322      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   5620 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
2.2125E-02 5.5000E-01 1.4817E+00 1.0255E+00 4.5532E-01 -2.4769E-02 1.0000E+00 4.9662E-02     2
2.2125E-02 5.5500E-01 1.5580E+00 1.0463E+00 5.1095E-01 -2.0364E-02 1.0000E+00 5.5543E-02     2
2.2125E-02 5.6000E-01 1.7641E+00 1.1812E+00 5.8214E-01 -1.6886E-02 1.0000E+00 6.3124E-02     2
2.2125E-02 5.6500E-01 2.0114E+00 1.3664E+00 6.4432E-01 -1.5667E-02 1.0000E+00 6.9824E-02     2
2.2125E-02 5.7000E-01 2.1552E+00 1.4392E+00 7.1533E-01 -1.3936E-02 1.0000E+00 7.7421E-02     2
2.2125E-02 5.7500E-01 2.4172E+00 1.6051E+00 8.1139E-01 -1.1587E-02 1.0000E+00 8.7650E-02     2
2.2125E-02 5.8000E-01 2.5830E+00 1.6564E+00 9.2601E-01 -9.7644E-03 1.0000E+00 9.9918E-02     2
2.2125E-02 5.8500E-01 3.0164E+00 1.8923E+00 1.1236E+00 -8.1829E-03 1.0000E+00 1.2116E-01     2
2.2125E-02 5.9000E-01 3.7474E+00 2.3722E+00 1.3747E+00 -6.3385E-03 1.0000E+00 1.4805E-01     2
2.2125E-02 5.9500E-01 4.7268E+00 3.0968E+00 1.6295E+00 -4.8064E-03 1.0000E+00 1.7527E-01     2
2.2125E-02 6.0000E-01 5.3977E+00 3.5225E+00 1.8747E+00 -3.8002E-03 1.0000E+00 2.0161E-01     2
2.2125E-02 6.0500E-01 6.4621E+00 4.0170E+00 2.4447E+00 -2.8987E-03 1.0000E+00 2.6267E-01     2
2.2125E-02 6.1000E-01 8.6991E+00 5.3082E+00 3.3906E+00 -2.0765E-03 1.0000E+00 3.6402E-01     2
2.2125E-02 6.1500E-01 1.2325E+01 7.6332E+00 4.6917E+00 -1.3655E-03 1.0000E+00 5.0388E-01     2
2.2125E-02 6.2000E-01 1.6741E+01 1.0704E+01 6.0372E+00 -7.9350E-04 1.0000E+00 6.4958E-01     2
2.2125E-02 6.2500E-01 2.0688E+01 1.3550E+01 7.1394E+00 -3.9667E-04 1.0000E+00 7.6845E-01     2
2.2125E-02 6.3000E-01 2.5011E+01 1.6206E+01 8.8065E+00 -1.2337E-04 1.0000E+00 9.4584E-01     2
2.2125E-02 6.3500E-01 3.0007E+01 1.9041E+01 1.0969E+01  1.3287E-04 1.0000E+00 1.1829E+00     2
2.2125E-02 6.4000E-01 3.0429E+01 1.9170E+01 1.1263E+01  3.5080E-04 1.0000E+00 1.2219E+00     2
2.2125E-02 6.4500E-01 2.5448E+01 1.6073E+01 9.3795E+00  5.3625E-04 1.0000E+00 1.0216E+00     2
2.2125E-02 6.5000E-01 1.9225E+01 1.2436E+01 6.7926E+00  6.9054E-04 1.0000E+00 7.4058E-01     2
2.2125E-02 6.5500E-01 1.4859E+01 9.7803E+00 5.0813E+00  7.7961E-04 1.0000E+00 5.5447E-01     2
2.2125E-02 6.6000E-01 1.1315E+01 7.6443E+00 3.6736E+00  8.2457E-04 1.0000E+00 4.0063E-01     2
2.2125E-02 6.6500E-01 9.9309E+00 7.0919E+00 2.8416E+00  7.9524E-04 1.0000E+00 3.0950E-01     2
2.2125E-02 6.7000E-01 9.3492E+00 6.5680E+00 2.7835E+00  6.8088E-04 1.0000E+00 3.0358E-01     2
2.2125E-02 6.7500E-01 7.0827E+00 4.6431E+00 2.4412E+00  6.2215E-04 1.0000E+00 2.6655E-01     2
2.2125E-02 6.8000E-01 5.2839E+00 3.3465E+00 1.9385E+00  5.8689E-04 1.0000E+00 2.1147E-01     2
2.2125E-02 6.8500E-01 4.1409E+00 2.5391E+00 1.6027E+00  5.2702E-04 1.0000E+00 1.7478E-01     2
2.2125E-02 6.9000E-01 3.0001E+00 1.6932E+00 1.3075E+00  4.1734E-04 1.0000E+00 1.4288E-01     2
2.2125E-02 6.9500E-01 2.2805E+00 1.2351E+00 1.0459E+00  3.0626E-04 1.0000E+00 1.1433E-01     2
2.2125E-02 7.0000E-01 1.8143E+00 9.5514E-01 8.5953E-01  1.8373E-04 1.0000E+00 9.3969E-02     2
