 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  19760 NFAC=1976 NLAY=  10 asp.ratio= 0.1994      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  19760 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 3.0000E-01 6.4516E-01 6.3636E-01 1.1567E-02  9.3996E-02 1.0000E+00 9.2423E-04     2
1.6736E-02 3.0500E-01 5.3950E-01 5.3368E-01 7.9276E-03  9.1765E-02 1.0000E+00 6.1631E-04     2
1.6736E-02 3.1000E-01 4.3316E-01 4.2939E-01 5.2825E-03  8.9450E-02 1.0000E+00 4.0313E-04     2
1.6736E-02 3.1500E-01 3.2915E-01 3.2630E-01 4.0055E-03  8.6656E-02 1.0000E+00 3.0657E-04     2
1.6736E-02 3.2000E-01 2.8804E-01 2.8419E-01 5.0965E-03  8.3263E-02 1.0000E+00 4.1102E-04     2
1.6736E-02 3.2500E-01 4.6301E-01 4.5177E-01 1.3213E-02  7.7341E-02 1.0000E+00 1.1605E-03     2
1.6736E-02 3.3000E-01 9.4359E-01 9.0237E-01 4.3858E-02  6.1458E-02 1.0000E+00 4.0206E-03     2
1.6736E-02 3.3500E-01 1.2182E+00 1.1393E+00 8.0698E-02  4.4143E-02 1.0000E+00 7.1986E-03     2
1.6736E-02 3.4000E-01 6.4306E-01 6.0993E-01 3.3873E-02  1.0755E-01 1.0000E+00 2.7123E-03     2
1.6736E-02 3.4500E-01 4.7769E-01 4.5741E-01 2.0603E-02  1.0225E-01 1.0000E+00 1.6591E-03     2
1.6736E-02 3.5000E-01 3.4862E-01 3.3242E-01 1.6017E-02  8.4025E-02 1.0000E+00 1.3425E-03     2
1.6736E-02 3.5500E-01 2.9770E-01 2.8318E-01 1.4011E-02  7.1442E-02 1.0000E+00 1.2505E-03     2
1.6736E-02 3.6000E-01 3.3285E-01 3.1847E-01 1.3957E-02  6.5226E-02 1.0000E+00 1.2925E-03     2
1.6736E-02 3.6500E-01 3.3047E-01 3.1680E-01 1.3262E-02  6.9805E-02 1.0000E+00 1.2222E-03     2
1.6736E-02 3.7000E-01 2.7706E-01 2.6274E-01 1.3615E-02  7.1715E-02 1.0000E+00 1.2904E-03     2
1.6736E-02 3.7500E-01 2.6281E-01 2.4687E-01 1.5136E-02  7.4882E-02 1.0000E+00 1.4648E-03     2
1.6736E-02 3.8000E-01 2.6547E-01 2.4782E-01 1.6914E-02  7.0340E-02 1.0000E+00 1.6700E-03     2
1.6736E-02 3.8500E-01 3.0547E-01 2.8607E-01 1.9015E-02  6.5810E-02 1.0000E+00 1.9002E-03     2
1.6736E-02 3.9000E-01 4.1348E-01 3.9118E-01 2.2589E-02  6.5648E-02 1.0000E+00 2.2451E-03     2
1.6736E-02 3.9500E-01 6.2746E-01 5.9811E-01 3.0293E-02  7.0457E-02 1.0000E+00 2.8994E-03     2
1.6736E-02 4.0000E-01 6.7598E-01 6.3982E-01 3.5930E-02  7.4594E-02 1.0000E+00 3.3180E-03     2
1.6736E-02 4.0500E-01 5.5560E-01 5.1666E-01 3.7504E-02  6.9037E-02 1.0000E+00 3.4713E-03     2
1.6736E-02 4.1000E-01 4.4762E-01 4.0769E-01 3.7923E-02  6.3211E-02 1.0000E+00 3.5768E-03     2
1.6736E-02 4.1500E-01 4.1126E-01 3.6860E-01 4.0383E-02  5.9956E-02 1.0000E+00 3.8477E-03     2
1.6736E-02 4.2000E-01 3.5250E-01 3.0721E-01 4.2863E-02  5.7164E-02 1.0000E+00 4.1081E-03     2
1.6736E-02 4.2500E-01 3.1173E-01 2.6421E-01 4.5098E-02  5.5898E-02 1.0000E+00 4.3550E-03     2
1.6736E-02 4.3000E-01 2.9151E-01 2.4156E-01 4.7584E-02  5.6408E-02 1.0000E+00 4.6212E-03     2
1.6736E-02 4.3500E-01 2.7874E-01 2.2631E-01 5.0116E-02  5.7655E-02 1.0000E+00 4.8895E-03     2
1.6736E-02 4.4000E-01 2.7065E-01 2.1406E-01 5.4282E-02  5.9987E-02 1.0000E+00 5.3117E-03     2
1.6736E-02 4.4500E-01 2.7186E-01 2.0992E-01 5.9670E-02  6.5299E-02 1.0000E+00 5.8344E-03     2
1.6736E-02 4.5000E-01 2.9910E-01 2.3017E-01 6.6622E-02  7.4424E-02 1.0000E+00 6.4951E-03     2
1.6736E-02 4.5500E-01 3.7606E-01 2.9800E-01 7.5648E-02  8.6268E-02 1.0000E+00 7.3328E-03     2
1.6736E-02 4.6000E-01 4.8672E-01 3.9894E-01 8.5357E-02  9.4963E-02 1.0000E+00 8.2225E-03     2
1.6736E-02 4.6500E-01 6.0963E-01 5.0999E-01 9.7438E-02  3.7207E-02 1.0000E+00 9.9567E-03     2
1.6736E-02 4.7000E-01 6.0356E-01 4.9066E-01 1.1081E-01 -3.3177E-02 1.0000E+00 1.2121E-02     2
1.6736E-02 4.7500E-01 6.1082E-01 4.8235E-01 1.2653E-01 -4.3200E-02 1.0000E+00 1.3977E-02     2
1.6736E-02 4.8000E-01 6.4396E-01 4.9632E-01 1.4587E-01 -3.6921E-02 1.0000E+00 1.6025E-02     2
1.6736E-02 4.8500E-01 7.1482E-01 5.4335E-01 1.6990E-01 -2.7487E-02 1.0000E+00 1.8510E-02     2
1.6736E-02 4.9000E-01 8.2440E-01 6.2288E-01 2.0013E-01 -2.0148E-02 1.0000E+00 2.1673E-02     2
1.6736E-02 4.9500E-01 9.7817E-01 7.3914E-01 2.3776E-01 -1.5008E-02 1.0000E+00 2.5656E-02     2
1.6736E-02 5.0000E-01 1.1852E+00 8.9740E-01 2.8660E-01 -1.1090E-02 1.0000E+00 3.0859E-02     2
1.6736E-02 5.0500E-01 1.4264E+00 1.0739E+00 3.5138E-01 -8.2339E-03 1.0000E+00 3.7788E-02     2
1.6736E-02 5.1000E-01 1.7887E+00 1.3398E+00 4.4802E-01 -6.1138E-03 1.0000E+00 4.8160E-02     2
1.6736E-02 5.1500E-01 2.3429E+00 1.7482E+00 5.9386E-01 -4.5044E-03 1.0000E+00 6.3836E-02     2
1.6736E-02 5.2000E-01 3.2982E+00 2.4812E+00 8.1630E-01 -3.2004E-03 1.0000E+00 8.7769E-02     2
1.6736E-02 5.2500E-01 4.8510E+00 3.7018E+00 1.1486E+00 -2.1519E-03 1.0000E+00 1.2357E-01     2
1.6736E-02 5.3000E-01 7.3845E+00 5.6980E+00 1.6862E+00 -1.3418E-03 1.0000E+00 1.8153E-01     2
1.6736E-02 5.3500E-01 1.1294E+01 8.7414E+00 2.5528E+00 -7.5252E-04 1.0000E+00 2.7499E-01     2
1.6736E-02 5.4000E-01 1.7928E+01 1.3838E+01 4.0920E+00 -2.7524E-04 1.0000E+00 4.4126E-01     2
1.6736E-02 5.4500E-01 2.3730E+01 1.8431E+01 5.3037E+00  8.6602E-05 1.0000E+00 5.7300E-01     2
1.6736E-02 5.5000E-01 2.1654E+01 1.6924E+01 4.7355E+00  3.3865E-04 1.0000E+00 5.1251E-01     2
1.6736E-02 5.5500E-01 1.5927E+01 1.2376E+01 3.5553E+00  5.0233E-04 1.0000E+00 3.8535E-01     2
1.6736E-02 5.6000E-01 1.0435E+01 8.0759E+00 2.3620E+00  6.2328E-04 1.0000E+00 2.5629E-01     2
1.6736E-02 5.6500E-01 6.9807E+00 5.3933E+00 1.5897E+00  7.0341E-04 1.0000E+00 1.7263E-01     2
1.6736E-02 5.7000E-01 4.8015E+00 3.6938E+00 1.1094E+00  7.4756E-04 1.0000E+00 1.2057E-01     2
1.6736E-02 5.7500E-01 3.4592E+00 2.6526E+00 8.0790E-01  7.5295E-04 1.0000E+00 8.7867E-02     2
1.6736E-02 5.8000E-01 2.5413E+00 1.9439E+00 5.9844E-01  7.3404E-04 1.0000E+00 6.5143E-02     2
1.6736E-02 5.8500E-01 2.0943E+00 1.6348E+00 4.6047E-01  7.1453E-04 1.0000E+00 5.0145E-02     2
1.6736E-02 5.9000E-01 1.6812E+00 1.3048E+00 3.7713E-01  6.3856E-04 1.0000E+00 4.1104E-02     2
1.6736E-02 5.9500E-01 1.2986E+00 9.9951E-01 2.9968E-01  5.8245E-04 1.0000E+00 3.2695E-02     2
1.6736E-02 6.0000E-01 1.0722E+00 8.2879E-01 2.4394E-01  5.7382E-04 1.0000E+00 2.6633E-02     2
1.6736E-02 6.0500E-01 8.9411E-01 6.9386E-01 2.0069E-01  5.1828E-04 1.0000E+00 2.1928E-02     2
1.6736E-02 6.1000E-01 7.8304E-01 6.1659E-01 1.6687E-01  4.0993E-04 1.0000E+00 1.8244E-02     2
1.6736E-02 6.1500E-01 7.3953E-01 5.9900E-01 1.4099E-01  2.9193E-04 1.0000E+00 1.5416E-02     2
