 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  19760 NFAC=1976 NLAY=  10 asp.ratio= 0.1994      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  19760 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 7.2500E-01 1.0123E-01 7.9757E-02 2.1546E-02 -2.1536E-03 1.0000E+00 2.3844E-03     2
1.6736E-02 7.3000E-01 9.8483E-02 7.8226E-02 2.0327E-02 -2.3749E-03 1.0000E+00 2.2502E-03     2
1.6736E-02 7.3500E-01 9.2442E-02 7.3185E-02 1.9323E-02 -2.5081E-03 1.0000E+00 2.1401E-03     2
1.6736E-02 7.4000E-01 7.7569E-02 5.9477E-02 1.8141E-02 -2.6576E-03 1.0000E+00 2.0115E-03     2
1.6736E-02 7.4500E-01 7.1321E-02 5.4318E-02 1.7047E-02 -2.7636E-03 1.0000E+00 1.8912E-03     2
1.6736E-02 7.5000E-01 6.9804E-02 5.3702E-02 1.6146E-02 -2.7685E-03 1.0000E+00 1.7914E-03     2
1.6736E-02 7.5500E-01 6.3635E-02 4.8413E-02 1.5262E-02 -2.7917E-03 1.0000E+00 1.6941E-03     2
1.6736E-02 7.6000E-01 5.9743E-02 4.5333E-02 1.4447E-02 -2.9922E-03 1.0000E+00 1.6043E-03     2
1.6736E-02 7.6500E-01 5.8888E-02 4.5172E-02 1.3754E-02 -3.1871E-03 1.0000E+00 1.5278E-03     2
1.6736E-02 7.7000E-01 5.4882E-02 4.1881E-02 1.3035E-02 -3.3666E-03 1.0000E+00 1.4487E-03     2
1.6736E-02 7.7500E-01 5.6055E-02 4.3695E-02 1.2398E-02 -3.5657E-03 1.0000E+00 1.3780E-03     2
1.6736E-02 7.8000E-01 5.3299E-02 4.1494E-02 1.1841E-02 -3.7203E-03 1.0000E+00 1.3167E-03     2
1.6736E-02 7.8500E-01 5.0919E-02 3.9656E-02 1.1298E-02 -3.7076E-03 1.0000E+00 1.2567E-03     2
1.6736E-02 7.9000E-01 4.6805E-02 3.6065E-02 1.0771E-02 -3.8386E-03 1.0000E+00 1.1987E-03     2
1.6736E-02 7.9500E-01 4.2461E-02 3.2227E-02 1.0261E-02 -3.9421E-03 1.0000E+00 1.1426E-03     2
1.6736E-02 8.0000E-01 3.9569E-02 2.9862E-02 9.7322E-03 -4.0909E-03 1.0000E+00 1.0842E-03     2
1.6736E-02 8.0500E-01 4.2219E-02 3.3008E-02 9.2401E-03 -4.0168E-03 1.0000E+00 1.0290E-03     2
1.6736E-02 8.1000E-01 4.7447E-02 3.8641E-02 8.8449E-03 -4.1574E-03 1.0000E+00 9.8404E-04     2
1.6736E-02 8.1500E-01 5.0846E-02 4.2368E-02 8.5249E-03 -4.3361E-03 1.0000E+00 9.4762E-04     2
1.6736E-02 8.2000E-01 4.9175E-02 4.1019E-02 8.2028E-03 -4.4081E-03 1.0000E+00 9.1203E-04     2
1.6736E-02 8.2500E-01 4.7949E-02 4.0107E-02 7.8881E-03 -4.3467E-03 1.0000E+00 8.7697E-04     2
1.6736E-02 8.3000E-01 4.1921E-02 3.4402E-02 7.5554E-03 -4.4235E-03 1.0000E+00 8.4105E-04     2
1.6736E-02 8.3500E-01 3.9305E-02 3.2144E-02 7.1946E-03 -4.6292E-03 1.0000E+00 8.0135E-04     2
1.6736E-02 8.4000E-01 4.1530E-02 3.4718E-02 6.8511E-03 -4.8539E-03 1.0000E+00 7.6269E-04     2
1.6736E-02 8.4500E-01 4.9376E-02 4.2831E-02 6.6027E-03 -5.0271E-03 1.0000E+00 7.3303E-04     2
1.6736E-02 8.5000E-01 5.4057E-02 4.7701E-02 6.4285E-03 -5.2131E-03 1.0000E+00 7.1214E-04     2
1.6736E-02 8.5500E-01 5.3968E-02 4.7789E-02 6.2526E-03 -5.3969E-03 1.0000E+00 6.9244E-04     2
1.6736E-02 8.6000E-01 4.9935E-02 4.3912E-02 6.0874E-03 -5.5397E-03 1.0000E+00 6.7505E-04     2
1.6736E-02 8.6500E-01 3.8802E-02 3.2977E-02 5.8648E-03 -5.6803E-03 1.0000E+00 6.5294E-04     2
1.6736E-02 8.7000E-01 3.6202E-02 3.0633E-02 5.6055E-03 -5.8691E-03 1.0000E+00 6.2449E-04     2
1.6736E-02 8.7500E-01 3.2141E-02 2.6742E-02 5.4295E-03 -5.9421E-03 1.0000E+00 6.0564E-04     2
1.6736E-02 8.8000E-01 2.6030E-02 2.0851E-02 5.1999E-03 -6.1596E-03 1.0000E+00 5.8126E-04     2
1.6736E-02 8.8500E-01 2.2672E-02 1.7708E-02 4.9804E-03 -6.4296E-03 1.0000E+00 5.5738E-04     2
1.6736E-02 8.9000E-01 2.1768E-02 1.7016E-02 4.7681E-03 -6.2581E-03 1.0000E+00 5.3365E-04     2
1.6736E-02 8.9500E-01 2.3603E-02 1.9032E-02 4.5908E-03 -6.3615E-03 1.0000E+00 5.1345E-04     2
1.6736E-02 9.0000E-01 2.3877E-02 1.9458E-02 4.4401E-03 -5.9122E-03 1.0000E+00 4.9625E-04     2
