 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET ---testing_cyl_avg_2nmlatt                                            
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 FROM_FILE --- shape 
   2445 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 3.0000E-01 7.3708E-01 7.2969E-01 1.0324E-02  5.4948E-01 1.0000E+00 3.9646E-04     2
1.6736E-02 3.0500E-01 6.1113E-01 6.0627E-01 6.9358E-03  5.3162E-01 1.0000E+00 2.7063E-04     2
1.6736E-02 3.1000E-01 4.7557E-01 4.7250E-01 4.4392E-03  5.1418E-01 1.0000E+00 1.7706E-04     2
1.6736E-02 3.1500E-01 3.3454E-01 3.3237E-01 3.1269E-03  4.9726E-01 1.0000E+00 1.2906E-04     2
1.6736E-02 3.2000E-01 2.5714E-01 2.5453E-01 3.6230E-03  4.8118E-01 1.0000E+00 1.6015E-04     2
1.6736E-02 3.2500E-01 2.9480E-01 2.8905E-01 7.1939E-03  4.6508E-01 1.0000E+00 3.6348E-04     2
1.6736E-02 3.3000E-01 2.6831E-01 2.5794E-01 1.1453E-02  4.4864E-01 1.0000E+00 6.7529E-04     2
1.6736E-02 3.3500E-01 2.2936E-01 2.1284E-01 1.7108E-02  4.3243E-01 1.0000E+00 1.1064E-03     2
1.6736E-02 3.4000E-01 2.9711E-01 2.7294E-01 2.4849E-02  4.1724E-01 1.0000E+00 1.6608E-03     2
1.6736E-02 3.4500E-01 4.7648E-01 4.4001E-01 3.7620E-02  4.0197E-01 1.0000E+00 2.5712E-03     2
1.6736E-02 3.5000E-01 6.5681E-01 5.9639E-01 6.1765E-02  3.8410E-01 1.0000E+00 4.3873E-03     2
1.6736E-02 3.5500E-01 9.5903E-01 8.5333E-01 1.0736E-01  3.6342E-01 1.0000E+00 7.9347E-03     2
1.6736E-02 3.6000E-01 1.5009E+00 1.3103E+00 1.9294E-01  3.3952E-01 1.0000E+00 1.4853E-02     2
1.6736E-02 3.6500E-01 2.7604E+00 2.3639E+00 4.0015E-01  3.0898E-01 1.0000E+00 3.2318E-02     2
1.6736E-02 3.7000E-01 6.1151E+00 5.1529E+00 9.6969E-01  2.7403E-01 1.0000E+00 8.2504E-02     2
1.6736E-02 3.7500E-01 7.9133E+00 6.7685E+00 1.1556E+00  3.3425E-01 1.0000E+00 9.1242E-02     2
1.6736E-02 3.8000E-01 4.6276E+00 4.0283E+00 6.0633E-01  3.8051E-01 1.0000E+00 4.4132E-02     2
1.6736E-02 3.8500E-01 4.8272E+00 4.2065E+00 6.2840E-01  3.9191E-01 1.0000E+00 4.4151E-02     2
1.6736E-02 3.9000E-01 7.0987E+00 5.8270E+00 1.2794E+00  3.7885E-01 1.0000E+00 9.1195E-02     2
1.6736E-02 3.9500E-01 1.1517E+01 8.9057E+00 2.6204E+00  2.0267E-01 1.0000E+00 2.3418E-01     2
1.6736E-02 4.0000E-01 8.3398E+00 6.5731E+00 1.7741E+00  2.6837E-01 1.0000E+00 1.4738E-01     2
1.6736E-02 4.0500E-01 3.5724E+00 2.8048E+00 7.7090E-01  3.8691E-01 1.0000E+00 5.4723E-02     2
1.6736E-02 4.1000E-01 1.6961E+00 1.2993E+00 3.9828E-01  3.5119E-01 1.0000E+00 2.9910E-02     2
1.6736E-02 4.1500E-01 9.9939E-01 7.5014E-01 2.5002E-01  3.2816E-01 1.0000E+00 1.9440E-02     2
1.6736E-02 4.2000E-01 6.6020E-01 4.8410E-01 1.7659E-01  3.1337E-01 1.0000E+00 1.4039E-02     2
1.6736E-02 4.2500E-01 4.6736E-01 3.3505E-01 1.3262E-01  3.0202E-01 1.0000E+00 1.0724E-02     2
1.6736E-02 4.3000E-01 3.4764E-01 2.4377E-01 1.0409E-01  2.9254E-01 1.0000E+00 8.5364E-03     2
1.6736E-02 4.3500E-01 2.7247E-01 1.8833E-01 8.4312E-02  2.8419E-01 1.0000E+00 6.9995E-03     2
1.6736E-02 4.4000E-01 2.2118E-01 1.5163E-01 6.9684E-02  2.7655E-01 1.0000E+00 5.8496E-03     2
1.6736E-02 4.4500E-01 1.8459E-01 1.2616E-01 5.8544E-02  2.6944E-01 1.0000E+00 4.9649E-03     2
1.6736E-02 4.5000E-01 1.5790E-01 1.0814E-01 4.9864E-02  2.6275E-01 1.0000E+00 4.2691E-03     2
1.6736E-02 4.5500E-01 1.3859E-01 9.6060E-02 4.2621E-02  2.5637E-01 1.0000E+00 3.6817E-03     2
1.6736E-02 4.6000E-01 1.2315E-01 8.6372E-02 3.6857E-02  2.5030E-01 1.0000E+00 3.2107E-03     2
1.6736E-02 4.6500E-01 1.1036E-01 7.8185E-02 3.2252E-02  2.4452E-01 1.0000E+00 2.8319E-03     2
1.6736E-02 4.7000E-01 9.9604E-02 7.1168E-02 2.8504E-02  2.3898E-01 1.0000E+00 2.5219E-03     2
1.6736E-02 4.7500E-01 8.9529E-02 6.4033E-02 2.5557E-02  2.3369E-01 1.0000E+00 2.2775E-03     2
1.6736E-02 4.8000E-01 8.0572E-02 5.7542E-02 2.3085E-02  2.2861E-01 1.0000E+00 2.0716E-03     2
1.6736E-02 4.8500E-01 7.2726E-02 5.1816E-02 2.0959E-02  2.2370E-01 1.0000E+00 1.8935E-03     2
1.6736E-02 4.9000E-01 6.5804E-02 4.6731E-02 1.9117E-02  2.1896E-01 1.0000E+00 1.7382E-03     2
1.6736E-02 4.9500E-01 5.9657E-02 4.2188E-02 1.7508E-02  2.1439E-01 1.0000E+00 1.6018E-03     2
1.6736E-02 5.0000E-01 5.4060E-02 3.8030E-02 1.6066E-02  2.0995E-01 1.0000E+00 1.4787E-03     2
1.6736E-02 5.0500E-01 4.9240E-02 3.4490E-02 1.4782E-02  2.0566E-01 1.0000E+00 1.3684E-03     2
1.6736E-02 5.1000E-01 4.5115E-02 3.1505E-02 1.3639E-02  2.0150E-01 1.0000E+00 1.2696E-03     2
1.6736E-02 5.1500E-01 4.1570E-02 2.8978E-02 1.2618E-02  1.9747E-01 1.0000E+00 1.1809E-03     2
1.6736E-02 5.2000E-01 3.8512E-02 2.6834E-02 1.1703E-02  1.9357E-01 1.0000E+00 1.1008E-03     2
1.6736E-02 5.2500E-01 3.6614E-02 2.5768E-02 1.0869E-02  1.8978E-01 1.0000E+00 1.0274E-03     2
1.6736E-02 5.3000E-01 3.4940E-02 2.4842E-02 1.0121E-02  1.8611E-01 1.0000E+00 9.6120E-04     2
1.6736E-02 5.3500E-01 3.3280E-02 2.3854E-02 9.4486E-03  1.8254E-01 1.0000E+00 9.0142E-04     2
1.6736E-02 5.4000E-01 3.1644E-02 2.2825E-02 8.8418E-03  1.7908E-01 1.0000E+00 8.4725E-04     2
1.6736E-02 5.4500E-01 3.0042E-02 2.1771E-02 8.2919E-03  1.7572E-01 1.0000E+00 7.9798E-04     2
1.6736E-02 5.5000E-01 2.8288E-02 2.0514E-02 7.7946E-03  1.7246E-01 1.0000E+00 7.5327E-04     2
1.6736E-02 5.5500E-01 2.5963E-02 1.8632E-02 7.3491E-03  1.6929E-01 1.0000E+00 7.1321E-04     2
1.6736E-02 5.6000E-01 2.3887E-02 1.6965E-02 6.9388E-03  1.6621E-01 1.0000E+00 6.7614E-04     2
1.6736E-02 5.6500E-01 2.2031E-02 1.5485E-02 6.5602E-03  1.6322E-01 1.0000E+00 6.4178E-04     2
1.6736E-02 5.7000E-01 2.0368E-02 1.4171E-02 6.2101E-03  1.6031E-01 1.0000E+00 6.0985E-04     2
1.6736E-02 5.7500E-01 1.8877E-02 1.3003E-02 5.8858E-03  1.5747E-01 1.0000E+00 5.8015E-04     2
1.6736E-02 5.8000E-01 1.7537E-02 1.1963E-02 5.5848E-03  1.5471E-01 1.0000E+00 5.5246E-04     2
1.6736E-02 5.8500E-01 1.6721E-02 1.1429E-02 5.3017E-03  1.5202E-01 1.0000E+00 5.2623E-04     2
1.6736E-02 5.9000E-01 1.6196E-02 1.1170E-02 5.0365E-03  1.4940E-01 1.0000E+00 5.0153E-04     2
1.6736E-02 5.9500E-01 1.5681E-02 1.0901E-02 4.7897E-03  1.4685E-01 1.0000E+00 4.7846E-04     2
1.6736E-02 6.0000E-01 1.5176E-02 1.0626E-02 4.5598E-03  1.4436E-01 1.0000E+00 4.5688E-04     2
1.6736E-02 6.0500E-01 1.4681E-02 1.0345E-02 4.3451E-03  1.4194E-01 1.0000E+00 4.3667E-04     2
1.6736E-02 6.1000E-01 1.4197E-02 1.0062E-02 4.1444E-03  1.3958E-01 1.0000E+00 4.1771E-04     2
1.6736E-02 6.1500E-01 1.3725E-02 9.7782E-03 3.9565E-03  1.3727E-01 1.0000E+00 3.9990E-04     2
