 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET ---Validation._Equivalent_to_cyl_avg_shp_25                           
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 FROM_FILE --- shape 
   2445 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 3.0000E-01 6.1051E-01 6.0242E-01 1.0785E-02  1.4162E-01 1.0000E+00 8.1489E-04     2
1.6736E-02 3.0500E-01 5.2887E-01 5.2332E-01 7.6470E-03  1.3600E-01 1.0000E+00 5.6423E-04     2
1.6736E-02 3.1000E-01 4.4593E-01 4.4213E-01 5.3483E-03  1.2914E-01 1.0000E+00 3.8959E-04     2
1.6736E-02 3.1500E-01 3.6026E-01 3.5719E-01 4.3244E-03  1.2058E-01 1.0000E+00 3.1818E-04     2
1.6736E-02 3.2000E-01 3.3731E-01 3.3287E-01 5.9480E-03  1.1048E-01 1.0000E+00 4.6627E-04     2
1.6736E-02 3.2500E-01 5.9727E-01 5.8285E-01 1.7303E-02  9.4476E-02 1.0000E+00 1.5442E-03     2
1.6736E-02 3.3000E-01 1.3231E+00 1.2646E+00 6.3378E-02  6.8028E-02 1.0000E+00 6.4544E-03     2
1.6736E-02 3.3500E-01 1.7316E+00 1.6135E+00 1.2277E-01  3.8869E-02 1.0000E+00 1.3477E-02     2
1.6736E-02 3.4000E-01 8.4781E-01 8.0282E-01 4.7793E-02  1.2883E-01 1.0000E+00 4.6705E-03     2
1.6736E-02 3.4500E-01 6.0177E-01 5.7622E-01 2.7847E-02  1.3512E-01 1.0000E+00 2.6232E-03     2
1.6736E-02 3.5000E-01 4.0668E-01 3.8731E-01 2.0811E-02  1.1398E-01 1.0000E+00 2.0324E-03     2
1.6736E-02 3.5500E-01 3.2273E-01 3.0728E-01 1.6603E-02  1.0045E-01 1.0000E+00 1.6429E-03     2
1.6736E-02 3.6000E-01 3.4082E-01 3.2683E-01 1.5321E-02  9.6517E-02 1.0000E+00 1.4913E-03     2
1.6736E-02 3.6500E-01 2.7886E-01 2.6679E-01 1.3141E-02  9.7461E-02 1.0000E+00 1.2833E-03     2
1.6736E-02 3.7000E-01 2.3387E-01 2.2211E-01 1.2618E-02  9.3727E-02 1.0000E+00 1.2540E-03     2
1.6736E-02 3.7500E-01 2.4347E-01 2.3134E-01 1.2987E-02  9.2840E-02 1.0000E+00 1.2925E-03     2
1.6736E-02 3.8000E-01 3.1434E-01 3.0093E-01 1.4488E-02  9.4013E-02 1.0000E+00 1.4283E-03     2
1.6736E-02 3.8500E-01 3.9120E-01 3.7635E-01 1.6203E-02  1.0083E-01 1.0000E+00 1.5724E-03     2
1.6736E-02 3.9000E-01 8.1875E-01 7.9266E-01 2.9631E-02  1.1752E-01 1.0000E+00 2.7138E-03     2
1.6736E-02 3.9500E-01 7.8584E-01 7.5383E-01 3.5263E-02  1.1345E-01 1.0000E+00 3.3489E-03     2
1.6736E-02 4.0000E-01 6.9924E-01 6.7064E-01 3.1464E-02  1.0599E-01 1.0000E+00 3.0180E-03     2
1.6736E-02 4.0500E-01 7.0261E-01 6.6718E-01 3.8079E-02  1.0277E-01 1.0000E+00 3.7503E-03     2
1.6736E-02 4.1000E-01 5.7838E-01 5.4236E-01 3.7995E-02  1.0131E-01 1.0000E+00 3.8204E-03     2
1.6736E-02 4.1500E-01 4.9217E-01 4.5261E-01 4.0951E-02  9.9805E-02 1.0000E+00 4.2012E-03     2
1.6736E-02 4.2000E-01 3.5175E-01 3.1179E-01 4.0670E-02  1.0010E-01 1.0000E+00 4.2419E-03     2
1.6736E-02 4.2500E-01 3.0385E-01 2.6281E-01 4.1544E-02  1.0066E-01 1.0000E+00 4.3549E-03     2
1.6736E-02 4.3000E-01 3.0425E-01 2.6197E-01 4.2747E-02  1.0611E-01 1.0000E+00 4.4586E-03     2
1.6736E-02 4.3500E-01 2.9359E-01 2.4851E-01 4.5465E-02  1.0798E-01 1.0000E+00 4.7436E-03     2
1.6736E-02 4.4000E-01 3.2749E-01 2.8106E-01 4.6882E-02  1.0039E-01 1.0000E+00 4.9279E-03     2
1.6736E-02 4.4500E-01 3.3429E-01 2.8494E-01 4.9798E-02  9.1999E-02 1.0000E+00 5.2882E-03     2
1.6736E-02 4.5000E-01 3.6608E-01 3.1202E-01 5.4560E-02  1.0252E-01 1.0000E+00 5.7280E-03     2
1.6736E-02 4.5500E-01 4.2483E-01 3.6291E-01 6.2492E-02  1.0604E-01 1.0000E+00 6.5414E-03     2
1.6736E-02 4.6000E-01 5.7359E-01 5.0377E-01 7.0734E-02  5.3703E-02 1.0000E+00 7.8137E-03     2
1.6736E-02 4.6500E-01 5.3966E-01 4.6745E-01 7.2987E-02 -1.8217E-02 1.0000E+00 8.6859E-03     2
1.6736E-02 4.7000E-01 5.2943E-01 4.4582E-01 8.4259E-02 -2.2751E-02 1.0000E+00 1.0098E-02     2
1.6736E-02 4.7500E-01 5.5554E-01 4.6160E-01 9.4587E-02 -4.0712E-02 1.0000E+00 1.1546E-02     2
1.6736E-02 4.8000E-01 5.5105E-01 4.4337E-01 1.0824E-01 -3.5637E-02 1.0000E+00 1.3170E-02     2
1.6736E-02 4.8500E-01 6.1384E-01 4.8623E-01 1.2819E-01 -2.6211E-02 1.0000E+00 1.5465E-02     2
1.6736E-02 4.9000E-01 7.2492E-01 5.7333E-01 1.5227E-01 -1.8348E-02 1.0000E+00 1.8231E-02     2
1.6736E-02 4.9500E-01 8.6000E-01 6.7776E-01 1.8304E-01 -1.2084E-02 1.0000E+00 2.1787E-02     2
1.6736E-02 5.0000E-01 1.1028E+00 8.7893E-01 2.2491E-01 -8.5154E-03 1.0000E+00 2.6672E-02     2
1.6736E-02 5.0500E-01 1.4142E+00 1.1358E+00 2.7980E-01 -8.1702E-03 1.0000E+00 3.3164E-02     2
1.6736E-02 5.1000E-01 1.9281E+00 1.5788E+00 3.5142E-01 -5.8671E-03 1.0000E+00 4.1526E-02     2
1.6736E-02 5.1500E-01 2.5015E+00 2.0942E+00 4.1036E-01 -4.3583E-03 1.0000E+00 4.8366E-02     2
1.6736E-02 5.2000E-01 2.9221E+00 2.4314E+00 4.9411E-01 -3.4243E-03 1.0000E+00 5.8235E-02     2
1.6736E-02 5.2500E-01 3.9236E+00 3.2555E+00 6.7259E-01 -2.1396E-03 1.0000E+00 7.9196E-02     2
1.6736E-02 5.3000E-01 5.2236E+00 4.3236E+00 9.0596E-01 -1.2382E-03 1.0000E+00 1.0661E-01     2
1.6736E-02 5.3500E-01 7.5126E+00 6.2044E+00 1.3167E+00 -5.3590E-04 1.0000E+00 1.5488E-01     2
1.6736E-02 5.4000E-01 1.0076E+01 8.3815E+00 1.7060E+00 -2.7447E-05 1.0000E+00 2.0050E-01     2
1.6736E-02 5.4500E-01 1.3227E+01 1.0846E+01 2.3954E+00  2.7951E-04 1.0000E+00 2.8172E-01     2
1.6736E-02 5.5000E-01 1.5356E+01 1.2422E+01 2.9494E+00  6.0172E-04 1.0000E+00 3.4700E-01     2
1.6736E-02 5.5500E-01 1.2609E+01 1.0196E+01 2.4260E+00  8.1389E-04 1.0000E+00 2.8541E-01     2
1.6736E-02 5.6000E-01 9.3543E+00 7.4921E+00 1.8714E+00  8.4860E-04 1.0000E+00 2.2028E-01     2
1.6736E-02 5.6500E-01 6.1425E+00 4.8203E+00 1.3278E+00  8.3619E-04 1.0000E+00 1.5643E-01     2
1.6736E-02 5.7000E-01 3.8264E+00 2.9442E+00 8.8549E-01  8.5323E-04 1.0000E+00 1.0438E-01     2
1.6736E-02 5.7500E-01 2.5048E+00 1.9167E+00 5.9017E-01  9.6509E-04 1.0000E+00 6.9578E-02     2
1.6736E-02 5.8000E-01 1.8155E+00 1.4082E+00 4.0890E-01  9.6385E-04 1.0000E+00 4.8193E-02     2
1.6736E-02 5.8500E-01 1.5691E+00 1.2709E+00 2.9980E-01  9.5550E-04 1.0000E+00 3.5283E-02     2
1.6736E-02 5.9000E-01 1.4524E+00 1.2044E+00 2.4964E-01  8.8056E-04 1.0000E+00 2.9349E-02     2
1.6736E-02 5.9500E-01 1.1801E+00 9.7701E-01 2.0443E-01  6.8770E-04 1.0000E+00 2.4044E-02     2
1.6736E-02 6.0000E-01 1.0536E+00 8.8658E-01 1.6836E-01  5.6661E-04 1.0000E+00 1.9782E-02     2
1.6736E-02 6.0500E-01 8.9875E-01 7.5538E-01 1.4448E-01  3.7468E-04 1.0000E+00 1.6983E-02     2
1.6736E-02 6.1000E-01 7.6990E-01 6.5170E-01 1.1918E-01  9.4685E-05 1.0000E+00 1.4005E-02     2
1.6736E-02 6.1500E-01 7.2061E-01 6.2083E-01 1.0080E-01 -2.5198E-04 1.0000E+00 1.1828E-02     2
