 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  14840 NFAC=1484 NLAY=  10 asp.ratio= 0.2301      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  14840 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.5252E-02 3.0000E-01 5.9861E-01 5.9227E-01 8.6221E-03  7.0941E-02 1.0000E+00 6.8337E-04     2
1.5252E-02 3.0500E-01 4.9964E-01 4.9547E-01 5.8455E-03  6.9316E-02 1.0000E+00 4.5398E-04     2
1.5252E-02 3.1000E-01 3.9969E-01 3.9700E-01 3.8517E-03  6.7528E-02 1.0000E+00 2.9537E-04     2
1.5252E-02 3.1500E-01 3.0098E-01 2.9896E-01 2.8926E-03  6.5314E-02 1.0000E+00 2.2232E-04     2
1.5252E-02 3.2000E-01 2.5914E-01 2.5647E-01 3.6760E-03  6.2620E-02 1.0000E+00 2.9345E-04     2
1.5252E-02 3.2500E-01 4.0292E-01 3.9535E-01 9.3265E-03  5.8066E-02 1.0000E+00 8.0465E-04     2
1.5252E-02 3.3000E-01 7.8788E-01 7.6133E-01 2.9196E-02  4.6583E-02 1.0000E+00 2.6780E-03     2
1.5252E-02 3.3500E-01 1.3531E+00 1.2835E+00 7.2166E-02  2.8182E-02 1.0000E+00 6.5707E-03     2
1.5252E-02 3.4000E-01 6.9870E-01 6.6864E-01 3.1116E-02  5.5815E-02 1.0000E+00 2.6268E-03     2
1.5252E-02 3.4500E-01 4.7520E-01 4.5964E-01 1.6065E-02  7.9468E-02 1.0000E+00 1.3101E-03     2
1.5252E-02 3.5000E-01 3.5255E-01 3.4047E-01 1.2088E-02  6.4510E-02 1.0000E+00 1.0266E-03     2
1.5252E-02 3.5500E-01 3.0497E-01 2.9433E-01 1.0434E-02  5.4127E-02 1.0000E+00 9.3797E-04     2
1.5252E-02 3.6000E-01 3.0675E-01 2.9697E-01 9.6612E-03  5.3320E-02 1.0000E+00 8.9090E-04     2
1.5252E-02 3.6500E-01 2.9707E-01 2.8651E-01 1.0287E-02  5.9087E-02 1.0000E+00 9.6700E-04     2
1.5252E-02 3.7000E-01 2.7839E-01 2.6651E-01 1.1416E-02  6.0371E-02 1.0000E+00 1.0990E-03     2
1.5252E-02 3.7500E-01 2.7794E-01 2.6466E-01 1.2814E-02  5.5127E-02 1.0000E+00 1.2607E-03     2
1.5252E-02 3.8000E-01 2.8950E-01 2.7476E-01 1.4370E-02  5.0028E-02 1.0000E+00 1.4384E-03     2
1.5252E-02 3.8500E-01 3.4281E-01 3.2693E-01 1.5900E-02  4.6956E-02 1.0000E+00 1.5994E-03     2
1.5252E-02 3.9000E-01 4.3328E-01 4.1534E-01 1.8522E-02  4.5641E-02 1.0000E+00 1.8544E-03     2
1.5252E-02 3.9500E-01 5.8245E-01 5.6010E-01 2.3532E-02  4.9892E-02 1.0000E+00 2.3027E-03     2
1.5252E-02 4.0000E-01 7.7298E-01 7.4160E-01 3.2073E-02  5.2384E-02 1.0000E+00 3.0021E-03     2
1.5252E-02 4.0500E-01 6.2712E-01 5.9440E-01 3.1864E-02  5.2512E-02 1.0000E+00 2.9945E-03     2
1.5252E-02 4.1000E-01 5.4329E-01 5.0915E-01 3.2683E-02  4.5670E-02 1.0000E+00 3.1436E-03     2
1.5252E-02 4.1500E-01 5.0177E-01 4.6526E-01 3.4661E-02  4.4369E-02 1.0000E+00 3.3653E-03     2
1.5252E-02 4.2000E-01 4.6170E-01 4.2168E-01 3.7828E-02  4.3684E-02 1.0000E+00 3.6757E-03     2
1.5252E-02 4.2500E-01 3.8738E-01 3.4601E-01 3.9076E-02  4.3567E-02 1.0000E+00 3.8190E-03     2
1.5252E-02 4.3000E-01 3.4799E-01 3.0413E-01 4.1504E-02  4.4200E-02 1.0000E+00 4.0984E-03     2
1.5252E-02 4.3500E-01 3.3914E-01 2.9142E-01 4.5391E-02  4.7748E-02 1.0000E+00 4.4926E-03     2
1.5252E-02 4.4000E-01 3.3883E-01 2.8637E-01 5.0218E-02  5.2999E-02 1.0000E+00 4.9684E-03     2
1.5252E-02 4.4500E-01 3.7340E-01 3.1482E-01 5.6400E-02  6.0152E-02 1.0000E+00 5.5713E-03     2
1.5252E-02 4.5000E-01 4.3038E-01 3.6395E-01 6.4222E-02  5.3927E-02 1.0000E+00 6.4209E-03     2
1.5252E-02 4.5500E-01 5.4848E-01 4.7218E-01 7.4156E-02  3.5003E-02 1.0000E+00 7.5797E-03     2
1.5252E-02 4.6000E-01 5.7324E-01 4.8430E-01 8.6777E-02 -3.0041E-02 1.0000E+00 9.4672E-03     2
1.5252E-02 4.6500E-01 6.0753E-01 5.0155E-01 1.0386E-01 -2.6661E-02 1.0000E+00 1.1310E-02     2
1.5252E-02 4.7000E-01 7.1770E-01 5.8863E-01 1.2709E-01 -1.8847E-02 1.0000E+00 1.3752E-02     2
1.5252E-02 4.7500E-01 8.6659E-01 7.1054E-01 1.5421E-01 -1.4500E-02 1.0000E+00 1.6635E-02     2
1.5252E-02 4.8000E-01 1.0653E+00 8.7540E-01 1.8820E-01 -1.0714E-02 1.0000E+00 2.0251E-02     2
1.5252E-02 4.8500E-01 1.3265E+00 1.0918E+00 2.3314E-01 -7.9038E-03 1.0000E+00 2.5050E-02     2
1.5252E-02 4.9000E-01 1.7013E+00 1.4094E+00 2.9042E-01 -5.7657E-03 1.0000E+00 3.1182E-02     2
1.5252E-02 4.9500E-01 2.1124E+00 1.7411E+00 3.7007E-01 -4.2103E-03 1.0000E+00 3.9723E-02     2
1.5252E-02 5.0000E-01 2.8191E+00 2.3116E+00 5.0645E-01 -2.9527E-03 1.0000E+00 5.4377E-02     2
1.5252E-02 5.0500E-01 4.0206E+00 3.3047E+00 7.1506E-01 -1.9550E-03 1.0000E+00 7.6815E-02     2
1.5252E-02 5.1000E-01 5.8448E+00 4.7887E+00 1.0557E+00 -1.2729E-03 1.0000E+00 1.1350E-01     2
1.5252E-02 5.1500E-01 9.4485E+00 7.6358E+00 1.8131E+00 -7.3711E-04 1.0000E+00 1.9514E-01     2
1.5252E-02 5.2000E-01 1.6958E+01 1.3715E+01 3.2460E+00 -2.3811E-04 1.0000E+00 3.4986E-01     2
1.5252E-02 5.2500E-01 2.0786E+01 1.7188E+01 3.6044E+00  1.5392E-04 1.0000E+00 3.8925E-01     2
1.5252E-02 5.3000E-01 1.6441E+01 1.3913E+01 2.5350E+00  3.8768E-04 1.0000E+00 2.7402E-01     2
1.5252E-02 5.3500E-01 1.2817E+01 1.0750E+01 2.0726E+00  5.0200E-04 1.0000E+00 2.2437E-01     2
1.5252E-02 5.4000E-01 7.8668E+00 6.5103E+00 1.3602E+00  6.2728E-04 1.0000E+00 1.4753E-01     2
1.5252E-02 5.4500E-01 4.9210E+00 4.0836E+00 8.3998E-01  7.2028E-04 1.0000E+00 9.1209E-02     2
1.5252E-02 5.5000E-01 3.4400E+00 2.8617E+00 5.8031E-01  7.6615E-04 1.0000E+00 6.3069E-02     2
1.5252E-02 5.5500E-01 2.4664E+00 2.0401E+00 4.2779E-01  7.8431E-04 1.0000E+00 4.6548E-02     2
1.5252E-02 5.6000E-01 1.8356E+00 1.5135E+00 3.2316E-01  7.7090E-04 1.0000E+00 3.5202E-02     2
1.5252E-02 5.6500E-01 1.4379E+00 1.1855E+00 2.5331E-01  7.2281E-04 1.0000E+00 2.7619E-02     2
1.5252E-02 5.7000E-01 1.1270E+00 9.2505E-01 2.0268E-01  6.6549E-04 1.0000E+00 2.2123E-02     2
1.5252E-02 5.7500E-01 9.2099E-01 7.5716E-01 1.6444E-01  6.1885E-04 1.0000E+00 1.7965E-02     2
1.5252E-02 5.8000E-01 7.9401E-01 6.5862E-01 1.3596E-01  5.6699E-04 1.0000E+00 1.4861E-02     2
1.5252E-02 5.8500E-01 6.9950E-01 5.8477E-01 1.1527E-01  4.6205E-04 1.0000E+00 1.2606E-02     2
1.5252E-02 5.9000E-01 6.5664E-01 5.5966E-01 9.7548E-02  3.5002E-04 1.0000E+00 1.0666E-02     2
1.5252E-02 5.9500E-01 6.3226E-01 5.4485E-01 8.7997E-02  2.2629E-04 1.0000E+00 9.6180E-03     2
1.5252E-02 6.0000E-01 5.2353E-01 4.4519E-01 7.8797E-02  1.1751E-04 1.0000E+00 8.6276E-03     2
1.5252E-02 6.0500E-01 4.1695E-01 3.4838E-01 6.8902E-02 -6.6194E-06 1.0000E+00 7.5589E-03     2
1.5252E-02 6.1000E-01 3.4978E-01 2.9018E-01 5.9872E-02 -1.3283E-04 1.0000E+00 6.5768E-03     2
1.5252E-02 6.1500E-01 3.0981E-01 2.5753E-01 5.2537E-02 -2.6081E-04 1.0000E+00 5.7754E-03     2
