 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=   1385 NFAC= 277 NLAY=   5 asp.ratio= 0.2662      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   1385 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.3220E-02 4.0000E-01 8.3802E-01 8.1256E-01 2.6264E-02  3.9990E-02 1.0000E+00 2.4036E-03     2
1.3220E-02 4.0500E-01 6.0268E-01 5.7991E-01 2.2310E-02  3.6047E-02 1.0000E+00 2.1187E-03     2
1.3220E-02 4.1000E-01 6.2314E-01 5.9892E-01 2.3814E-02  3.0416E-02 1.0000E+00 2.3158E-03     2
1.3220E-02 4.1500E-01 5.9259E-01 5.6537E-01 2.6224E-02  3.1205E-02 1.0000E+00 2.5401E-03     2
1.3220E-02 4.2000E-01 5.6807E-01 5.3813E-01 2.8645E-02  2.6934E-02 1.0000E+00 2.8218E-03     2
1.3220E-02 4.2500E-01 4.8275E-01 4.5400E-01 2.7373E-02  2.2464E-02 1.0000E+00 2.7170E-03     2
1.3220E-02 4.3000E-01 3.6574E-01 3.3427E-01 2.9770E-02  2.6132E-02 1.0000E+00 3.0108E-03     2
1.3220E-02 4.3500E-01 3.8873E-01 3.5146E-01 3.5516E-02  3.0233E-02 1.0000E+00 3.6081E-03     2
1.3220E-02 4.4000E-01 4.3905E-01 3.9638E-01 4.1030E-02  2.9384E-02 1.0000E+00 4.1872E-03     2
1.3220E-02 4.4500E-01 4.9770E-01 4.4878E-01 4.7323E-02  1.9743E-02 1.0000E+00 4.8969E-03     2
1.3220E-02 4.5000E-01 5.7681E-01 5.1811E-01 5.7136E-02  1.6253E-02 1.0000E+00 5.9552E-03     2
1.3220E-02 4.5500E-01 7.0061E-01 6.2702E-01 7.1857E-02 -1.6840E-02 1.0000E+00 7.7527E-03     2
1.3220E-02 4.6000E-01 8.1708E-01 7.2316E-01 9.2136E-02 -1.2801E-02 1.0000E+00 9.9084E-03     2
1.3220E-02 4.6500E-01 1.1562E+00 1.0284E+00 1.2621E-01 -7.6021E-03 1.0000E+00 1.3521E-02     2
1.3220E-02 4.7000E-01 1.7487E+00 1.5897E+00 1.5807E-01 -4.6864E-03 1.0000E+00 1.6882E-02     2
1.3220E-02 4.7500E-01 1.9528E+00 1.7541E+00 1.9752E-01 -3.4766E-03 1.0000E+00 2.1102E-02     2
1.3220E-02 4.8000E-01 2.8422E+00 2.5399E+00 3.0151E-01 -2.1210E-03 1.0000E+00 3.2216E-02     2
1.3220E-02 4.8500E-01 4.3807E+00 3.9541E+00 4.2712E-01 -1.1334E-03 1.0000E+00 4.5582E-02     2
1.3220E-02 4.9000E-01 6.0900E+00 5.5411E+00 5.5132E-01 -5.6961E-04 1.0000E+00 5.8765E-02     2
1.3220E-02 4.9500E-01 8.8531E+00 7.9709E+00 8.8605E-01 -3.4374E-04 1.0000E+00 9.4777E-02     2
1.3220E-02 5.0000E-01 1.3507E+01 1.2188E+01 1.3278E+00  7.9970E-05 1.0000E+00 1.4239E-01     2
1.3220E-02 5.0500E-01 1.1773E+01 1.0795E+01 9.9060E-01  3.7596E-04 1.0000E+00 1.0609E-01     2
1.3220E-02 5.1000E-01 9.5959E+00 8.8801E+00 7.2840E-01  5.2123E-04 1.0000E+00 7.7878E-02     2
1.3220E-02 5.1500E-01 7.7568E+00 7.1988E+00 5.6916E-01  6.1990E-04 1.0000E+00 6.0799E-02     2
1.3220E-02 5.2000E-01 6.4021E+00 5.9513E+00 4.6047E-01  7.0629E-04 1.0000E+00 4.9134E-02     2
1.3220E-02 5.2500E-01 5.0835E+00 4.6847E+00 4.0586E-01  7.4461E-04 1.0000E+00 4.3555E-02     2
1.3220E-02 5.3000E-01 3.1047E+00 2.8320E+00 2.7683E-01  8.7456E-04 1.0000E+00 2.9865E-02     2
1.3220E-02 5.3500E-01 2.1572E+00 1.9846E+00 1.7589E-01  9.7020E-04 1.0000E+00 1.8937E-02     2
1.3220E-02 5.4000E-01 1.9823E+00 1.8549E+00 1.3119E-01  9.2787E-04 1.0000E+00 1.3989E-02     2
1.3220E-02 5.4500E-01 1.9418E+00 1.8235E+00 1.2220E-01  7.6028E-04 1.0000E+00 1.2990E-02     2
1.3220E-02 5.5000E-01 1.5798E+00 1.4702E+00 1.1249E-01  6.2714E-04 1.0000E+00 1.2051E-02     2
1.3220E-02 5.5500E-01 1.1128E+00 1.0184E+00 9.6164E-02  5.2699E-04 1.0000E+00 1.0398E-02     2
1.3220E-02 5.6000E-01 7.4838E-01 6.7245E-01 7.6893E-02  4.4630E-04 1.0000E+00 8.3664E-03     2
1.3220E-02 5.6500E-01 5.4242E-01 4.8170E-01 6.1369E-02  3.7316E-04 1.0000E+00 6.7007E-03     2
1.3220E-02 5.7000E-01 4.3039E-01 3.8099E-01 4.9909E-02  2.9897E-04 1.0000E+00 5.4585E-03     2
1.3220E-02 5.7500E-01 3.7000E-01 3.2890E-01 4.1561E-02  1.8312E-04 1.0000E+00 4.5472E-03     2
1.3220E-02 5.8000E-01 3.2922E-01 2.9451E-01 3.5142E-02  6.1749E-05 1.0000E+00 3.8445E-03     2
1.3220E-02 5.8500E-01 3.2634E-01 2.9717E-01 2.9687E-02 -1.1084E-04 1.0000E+00 3.2367E-03     2
1.3220E-02 5.9000E-01 3.9138E-01 3.6628E-01 2.5952E-02 -3.1756E-04 1.0000E+00 2.7893E-03     2
1.3220E-02 5.9500E-01 4.7172E-01 4.4689E-01 2.6060E-02 -4.8460E-04 1.0000E+00 2.7592E-03     2
1.3220E-02 6.0000E-01 3.7550E-01 3.5151E-01 2.4827E-02 -5.8391E-04 1.0000E+00 2.6668E-03     2
1.3220E-02 6.0500E-01 3.1015E-01 2.8907E-01 2.1738E-02 -6.9403E-04 1.0000E+00 2.3453E-03     2
1.3220E-02 6.1000E-01 3.1207E-01 2.9278E-01 2.0013E-02 -8.6725E-04 1.0000E+00 2.1469E-03     2
1.3220E-02 6.1500E-01 2.7753E-01 2.5921E-01 1.8923E-02 -1.0729E-03 1.0000E+00 2.0388E-03     2
1.3220E-02 6.2000E-01 2.1651E-01 1.9959E-01 1.7331E-02 -1.3374E-03 1.0000E+00 1.8853E-03     2
1.3220E-02 6.2500E-01 1.6601E-01 1.5070E-01 1.5585E-02 -1.6630E-03 1.0000E+00 1.7081E-03     2
1.3220E-02 6.3000E-01 1.3366E-01 1.1991E-01 1.3952E-02 -1.9999E-03 1.0000E+00 1.5359E-03     2
1.3220E-02 6.3500E-01 1.1599E-01 1.0362E-01 1.2536E-02 -2.0627E-03 1.0000E+00 1.3824E-03     2
1.3220E-02 6.4000E-01 1.0990E-01 9.8733E-02 1.1332E-02 -1.1404E-03 1.0000E+00 1.2477E-03     2
1.3220E-02 6.4500E-01 1.1484E-01 1.0466E-01 1.0382E-02 -4.0960E-04 1.0000E+00 1.1378E-03     2
1.3220E-02 6.5000E-01 1.2153E-01 1.1201E-01 9.7613E-03 -6.5858E-04 1.0000E+00 1.0647E-03     2
1.3220E-02 6.5500E-01 1.1383E-01 1.0491E-01 9.1351E-03 -9.2830E-04 1.0000E+00 9.9715E-04     2
1.3220E-02 6.6000E-01 1.0596E-01 9.7692E-02 8.4816E-03 -4.8438E-04 1.0000E+00 9.2612E-04     2
1.3220E-02 6.6500E-01 1.0745E-01 9.9857E-02 7.8217E-03 -3.7218E-04 1.0000E+00 8.5013E-04     2
1.3220E-02 6.7000E-01 1.3250E-01 1.2532E-01 7.5405E-03 -7.3279E-04 1.0000E+00 8.0486E-04     2
1.3220E-02 6.7500E-01 1.3316E-01 1.2599E-01 7.5341E-03 -1.0674E-03 1.0000E+00 8.0295E-04     2
1.3220E-02 6.8000E-01 9.2112E-02 8.5229E-02 7.0769E-03 -1.3576E-03 1.0000E+00 7.7140E-04     2
1.3220E-02 6.8500E-01 6.5946E-02 5.9597E-02 6.4594E-03 -1.6135E-03 1.0000E+00 7.1222E-04     2
1.3220E-02 6.9000E-01 5.3760E-02 4.7915E-02 5.9250E-03 -1.7758E-03 1.0000E+00 6.5620E-04     2
1.3220E-02 6.9500E-01 4.7416E-02 4.1999E-02 5.4851E-03 -1.8823E-03 1.0000E+00 6.0862E-04     2
1.3220E-02 7.0000E-01 4.2375E-02 3.7366E-02 5.0672E-03 -2.1097E-03 1.0000E+00 5.6324E-04     2
