 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  11935 NFAC=1085 NLAY=  11 asp.ratio= 0.2960      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  11935 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.4134E-02 5.3500E-01 9.5414E-01 8.2289E-01 1.3218E-01  7.7372E-04 1.0000E+00 1.4457E-02     2
1.4134E-02 5.4000E-01 7.7946E-01 6.7821E-01 1.0208E-01  8.1736E-04 1.0000E+00 1.1172E-02     2
1.4134E-02 5.4500E-01 6.8109E-01 5.9958E-01 8.2315E-02  7.4085E-04 1.0000E+00 9.0090E-03     2
1.4134E-02 5.5000E-01 6.4763E-01 5.8010E-01 6.8415E-02  6.1844E-04 1.0000E+00 7.4735E-03     2
1.4134E-02 5.5500E-01 6.4213E-01 5.8147E-01 6.1647E-02  4.7759E-04 1.0000E+00 6.7186E-03     2
1.4134E-02 5.6000E-01 5.5092E-01 4.9523E-01 5.6482E-02  3.1484E-04 1.0000E+00 6.1720E-03     2
1.4134E-02 5.6500E-01 4.2617E-01 3.7682E-01 4.9886E-02  1.8418E-04 1.0000E+00 5.4743E-03     2
1.4134E-02 5.7000E-01 3.4310E-01 3.0028E-01 4.3226E-02  1.2159E-04 1.0000E+00 4.7556E-03     2
1.4134E-02 5.7500E-01 2.9364E-01 2.5604E-01 3.7944E-02  3.2094E-05 1.0000E+00 4.1807E-03     2
1.4134E-02 5.8000E-01 2.4974E-01 2.1641E-01 3.3616E-02 -1.0746E-04 1.0000E+00 3.7101E-03     2
1.4134E-02 5.8500E-01 2.2497E-01 1.9552E-01 2.9719E-02 -1.2372E-04 1.0000E+00 3.2818E-03     2
1.4134E-02 5.9000E-01 2.0754E-01 1.8110E-01 2.6694E-02 -2.1609E-04 1.0000E+00 2.9488E-03     2
1.4134E-02 5.9500E-01 1.8643E-01 1.6271E-01 2.3951E-02 -3.2795E-04 1.0000E+00 2.6482E-03     2
1.4134E-02 6.0000E-01 1.7456E-01 1.5322E-01 2.1566E-02 -4.2875E-04 1.0000E+00 2.3847E-03     2
