 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=    560 NFAC= 112 NLAY=   5 asp.ratio= 0.4187      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
    560 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.0260E-02 3.0000E-01 4.2874E-01 4.2729E-01 2.1345E-03  2.2387E-02 1.0000E+00 1.6755E-04     2
1.0260E-02 3.0500E-01 3.5596E-01 3.5501E-01 1.4066E-03  2.1838E-02 1.0000E+00 1.1011E-04     2
1.0260E-02 3.1000E-01 2.8071E-01 2.8011E-01 8.9863E-04  2.1178E-02 1.0000E+00 7.0259E-05     2
1.0260E-02 3.1500E-01 2.0413E-01 2.0369E-01 6.5025E-04  2.0404E-02 1.0000E+00 5.0878E-05     2
1.0260E-02 3.2000E-01 1.6558E-01 1.6504E-01 8.0610E-04  1.9501E-02 1.0000E+00 6.3441E-05     2
1.0260E-02 3.2500E-01 2.2235E-01 2.2103E-01 1.9065E-03  1.8234E-02 1.0000E+00 1.5285E-04     2
1.0260E-02 3.3000E-01 3.0827E-01 3.0503E-01 4.3638E-03  1.6378E-02 1.0000E+00 3.6401E-04     2
1.0260E-02 3.3500E-01 6.3427E-01 6.2450E-01 1.2163E-02  1.3256E-02 1.0000E+00 1.0501E-03     2
1.0260E-02 3.4000E-01 9.5659E-01 9.4460E-01 1.4757E-02  1.2024E-02 1.0000E+00 1.2298E-03     2
1.0260E-02 3.4500E-01 7.2799E-01 7.1989E-01 9.6425E-03  1.1926E-02 1.0000E+00 7.8839E-04     2
1.0260E-02 3.5000E-01 4.0071E-01 3.9630E-01 4.9442E-03  1.6915E-02 1.0000E+00 4.0248E-04     2
1.0260E-02 3.5500E-01 2.8715E-01 2.8385E-01 3.6421E-03  1.8341E-02 1.0000E+00 3.0898E-04     2
1.0260E-02 3.6000E-01 3.1030E-01 3.0660E-01 4.1613E-03  1.7944E-02 1.0000E+00 3.6354E-04     2
1.0260E-02 3.6500E-01 2.9480E-01 2.9044E-01 4.7980E-03  1.5986E-02 1.0000E+00 4.3043E-04     2
1.0260E-02 3.7000E-01 2.8671E-01 2.8178E-01 5.5298E-03  1.5275E-02 1.0000E+00 5.0581E-04     2
1.0260E-02 3.7500E-01 3.8160E-01 3.7524E-01 7.5391E-03  1.5974E-02 1.0000E+00 6.8200E-04     2
1.0260E-02 3.8000E-01 5.3149E-01 5.2539E-01 7.9614E-03  1.5366E-02 1.0000E+00 6.8075E-04     2
1.0260E-02 3.8500E-01 5.3022E-01 5.2424E-01 8.0177E-03  1.1524E-02 1.0000E+00 6.8844E-04     2
1.0260E-02 3.9000E-01 5.6485E-01 5.5675E-01 1.0584E-02  1.0122E-02 1.0000E+00 9.4683E-04     2
1.0260E-02 3.9500E-01 1.0203E+00 1.0044E+00 1.9409E-02  9.3909E-03 1.0000E+00 1.7362E-03     2
1.0260E-02 4.0000E-01 9.7307E-01 9.5795E-01 1.7996E-02  1.0813E-02 1.0000E+00 1.6262E-03     2
1.0260E-02 4.0500E-01 1.1203E+00 1.1047E+00 1.9188E-02  1.3174E-02 1.0000E+00 1.6896E-03     2
1.0260E-02 4.1000E-01 1.4584E+00 1.4335E+00 2.9492E-02  9.8646E-03 1.0000E+00 2.6379E-03     2
1.0260E-02 4.1500E-01 1.4158E+00 1.3831E+00 3.4966E-02  1.1017E-02 1.0000E+00 3.1312E-03     2
1.0260E-02 4.2000E-01 1.1483E+00 1.1144E+00 3.4570E-02  1.3257E-02 1.0000E+00 3.2098E-03     2
1.0260E-02 4.2500E-01 1.1244E+00 1.0954E+00 3.0344E-02  8.0020E-03 1.0000E+00 2.8175E-03     2
1.0260E-02 4.3000E-01 9.0417E-01 8.6953E-01 3.4522E-02  2.0206E-03 1.0000E+00 3.4483E-03     2
1.0260E-02 4.3500E-01 1.0232E+00 9.6696E-01 5.5278E-02 -1.8836E-03 1.0000E+00 5.7449E-03     2
1.0260E-02 4.4000E-01 1.6055E+00 1.5101E+00 9.4930E-02 -9.4982E-04 1.0000E+00 9.9486E-03     2
1.0260E-02 4.4500E-01 2.8812E+00 2.6906E+00 1.9104E-01 -1.0786E-03 1.0000E+00 2.0162E-02     2
1.0260E-02 4.5000E-01 6.7832E+00 6.3577E+00 4.3186E-01 -3.7999E-04 1.0000E+00 4.5471E-02     2
1.0260E-02 4.5500E-01 1.0889E+01 1.0299E+01 6.1009E-01  2.4469E-04 1.0000E+00 6.3935E-02     2
1.0260E-02 4.6000E-01 7.6471E+00 7.2434E+00 4.2040E-01  5.3644E-04 1.0000E+00 4.4168E-02     2
1.0260E-02 4.6500E-01 3.3087E+00 3.1562E+00 1.6156E-01  7.8559E-04 1.0000E+00 1.6842E-02     2
1.0260E-02 4.7000E-01 2.3210E+00 2.2542E+00 7.5598E-02  9.1740E-04 1.0000E+00 7.4292E-03     2
1.0260E-02 4.7500E-01 2.7393E+00 2.6707E+00 7.9074E-02  8.2555E-04 1.0000E+00 7.5849E-03     2
1.0260E-02 4.8000E-01 2.0081E+00 1.9434E+00 7.1821E-02  9.2337E-04 1.0000E+00 7.1750E-03     2
1.0260E-02 4.8500E-01 1.4953E+00 1.4515E+00 4.9417E-02  9.5132E-04 1.0000E+00 4.8712E-03     2
1.0260E-02 4.9000E-01 1.3031E+00 1.2674E+00 4.0804E-02  8.1611E-04 1.0000E+00 3.9812E-03     2
1.0260E-02 4.9500E-01 1.3172E+00 1.2851E+00 3.7363E-02  6.6025E-04 1.0000E+00 3.5755E-03     2
1.0260E-02 5.0000E-01 1.0546E+00 1.0203E+00 3.8189E-02  4.8248E-04 1.0000E+00 3.8299E-03     2
1.0260E-02 5.0500E-01 5.7666E-01 5.5053E-01 2.7908E-02  3.8759E-04 1.0000E+00 2.9248E-03     2
1.0260E-02 5.1000E-01 3.9348E-01 3.7420E-01 2.0453E-02  3.1613E-04 1.0000E+00 2.1656E-03     2
1.0260E-02 5.1500E-01 3.4400E-01 3.2869E-01 1.6415E-02  2.1118E-04 1.0000E+00 1.7231E-03     2
1.0260E-02 5.2000E-01 3.2518E-01 3.1211E-01 1.4189E-02  8.1184E-05 1.0000E+00 1.4727E-03     2
1.0260E-02 5.2500E-01 2.5442E-01 2.4288E-01 1.2356E-02  5.4699E-05 1.0000E+00 1.3020E-03     2
1.0260E-02 5.3000E-01 1.9965E-01 1.8990E-01 1.0355E-02 -3.2954E-05 1.0000E+00 1.1012E-03     2
1.0260E-02 5.3500E-01 1.6646E-01 1.5806E-01 8.8843E-03 -1.7275E-04 1.0000E+00 9.4984E-04     2
1.0260E-02 5.4000E-01 1.4336E-01 1.3614E-01 7.6375E-03 -2.6613E-04 1.0000E+00 8.1915E-04     2
1.0260E-02 5.4500E-01 1.3023E-01 1.2390E-01 6.7331E-03 -3.7354E-04 1.0000E+00 7.2055E-04     2
1.0260E-02 5.5000E-01 1.1000E-01 1.0432E-01 6.0049E-03 -5.0096E-04 1.0000E+00 6.4662E-04     2
1.0260E-02 5.5500E-01 8.9160E-02 8.4094E-02 5.3150E-03 -6.0044E-04 1.0000E+00 5.7765E-04     2
1.0260E-02 5.6000E-01 7.8392E-02 7.3860E-02 4.7466E-03 -7.1681E-04 1.0000E+00 5.1726E-04     2
1.0260E-02 5.6500E-01 7.0243E-02 6.6152E-02 4.2846E-03 -8.9126E-04 1.0000E+00 4.6793E-04     2
1.0260E-02 5.7000E-01 6.0109E-02 5.6410E-02 3.8604E-03 -1.1068E-03 1.0000E+00 4.2374E-04     2
1.0260E-02 5.7500E-01 5.5252E-02 5.1912E-02 3.4912E-03 -1.3438E-03 1.0000E+00 3.8324E-04     2
1.0260E-02 5.8000E-01 5.7007E-02 5.3968E-02 3.2114E-03 -1.6034E-03 1.0000E+00 3.4863E-04     2
1.0260E-02 5.8500E-01 6.4229E-02 6.1421E-02 3.0324E-03 -1.8777E-03 1.0000E+00 3.2243E-04     2
1.0260E-02 5.9000E-01 6.7105E-02 6.4479E-02 2.8775E-03 -2.0339E-03 1.0000E+00 3.0161E-04     2
1.0260E-02 5.9500E-01 6.4941E-02 6.2446E-02 2.7400E-03 -2.0263E-03 1.0000E+00 2.8649E-04     2
1.0260E-02 6.0000E-01 5.0771E-02 4.8442E-02 2.5000E-03 -2.2899E-03 1.0000E+00 2.6762E-04     2
1.0260E-02 6.0500E-01 4.4089E-02 4.1951E-02 2.2797E-03 -2.4819E-03 1.0000E+00 2.4591E-04     2
1.0260E-02 6.1000E-01 4.2927E-02 4.0953E-02 2.1151E-03 -2.6097E-03 1.0000E+00 2.2738E-04     2
1.0260E-02 6.1500E-01 3.9654E-02 3.7826E-02 1.9595E-03 -3.0136E-03 1.0000E+00 2.1103E-04     2
