 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  31250 NFAC=3125 NLAY=  10 asp.ratio= 0.1585      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  31250 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.9524E-02 8.2000E-01 8.7581E-02 6.0045E-02 2.7574E-02 -3.7485E-03 1.0000E+00 3.0511E-03     2
1.9524E-02 8.2500E-01 9.5668E-02 6.9637E-02 2.6079E-02 -4.0145E-03 1.0000E+00 2.8856E-03     2
1.9524E-02 8.3000E-01 1.0074E-01 7.5812E-02 2.4981E-02 -4.2662E-03 1.0000E+00 2.7643E-03     2
1.9524E-02 8.3500E-01 9.9262E-02 7.5251E-02 2.4067E-02 -4.4580E-03 1.0000E+00 2.6637E-03     2
1.9524E-02 8.4000E-01 8.6561E-02 6.3670E-02 2.2937E-02 -4.6223E-03 1.0000E+00 2.5406E-03     2
1.9524E-02 8.4500E-01 8.8379E-02 6.6567E-02 2.1863E-02 -4.8116E-03 1.0000E+00 2.4219E-03     2
1.9524E-02 8.5000E-01 8.5601E-02 6.4567E-02 2.1083E-02 -5.0168E-03 1.0000E+00 2.3364E-03     2
1.9524E-02 8.5500E-01 7.3559E-02 5.3354E-02 2.0242E-02 -5.2057E-03 1.0000E+00 2.2448E-03     2
1.9524E-02 8.6000E-01 6.2111E-02 4.2854E-02 1.9285E-02 -5.3814E-03 1.0000E+00 2.1403E-03     2
1.9524E-02 8.6500E-01 5.6122E-02 3.7783E-02 1.8363E-02 -5.5730E-03 1.0000E+00 2.0390E-03     2
1.9524E-02 8.7000E-01 5.3354E-02 3.5893E-02 1.7484E-02 -5.6721E-03 1.0000E+00 1.9421E-03     2
1.9524E-02 8.7500E-01 5.2475E-02 3.5783E-02 1.6716E-02 -5.7007E-03 1.0000E+00 1.8570E-03     2
1.9524E-02 8.8000E-01 5.2116E-02 3.6164E-02 1.5977E-02 -5.7564E-03 1.0000E+00 1.7752E-03     2
1.9524E-02 8.8500E-01 5.2718E-02 3.7431E-02 1.5313E-02 -5.7442E-03 1.0000E+00 1.7014E-03     2
1.9524E-02 8.9000E-01 5.2747E-02 3.8044E-02 1.4729E-02 -5.5520E-03 1.0000E+00 1.6363E-03     2
1.9524E-02 8.9500E-01 5.0626E-02 3.6500E-02 1.4152E-02 -5.7887E-03 1.0000E+00 1.5727E-03     2
1.9524E-02 9.0000E-01 5.0141E-02 3.6577E-02 1.3590E-02 -6.0217E-03 1.0000E+00 1.5106E-03     2
