 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=   3940 NFAC= 788 NLAY=   5 asp.ratio= 0.1579      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   3940 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.9524E-02 3.0000E-01 7.2837E-01 7.1346E-01 1.8238E-02  1.5014E-01 1.0000E+00 1.4674E-03     2
1.9524E-02 3.0500E-01 6.1143E-01 6.0151E-01 1.2696E-02  1.4640E-01 1.0000E+00 9.8625E-04     2
1.9524E-02 3.1000E-01 4.9408E-01 4.8760E-01 8.6264E-03  1.4285E-01 1.0000E+00 6.5130E-04     2
1.9524E-02 3.1500E-01 3.8131E-01 3.7633E-01 6.6494E-03  1.3885E-01 1.0000E+00 5.0411E-04     2
1.9524E-02 3.2000E-01 3.4318E-01 3.3628E-01 8.5083E-03  1.3398E-01 1.0000E+00 6.9431E-04     2
1.9524E-02 3.2500E-01 5.7840E-01 5.5723E-01 2.3241E-02  1.2520E-01 1.0000E+00 2.0406E-03     2
1.9524E-02 3.3000E-01 1.1663E+00 1.0899E+00 7.8601E-02  1.0158E-01 1.0000E+00 6.9462E-03     2
1.9524E-02 3.3500E-01 1.0417E+00 9.5105E-01 9.1661E-02  1.3430E-01 1.0000E+00 7.3582E-03     2
1.9524E-02 3.4000E-01 6.3578E-01 5.9141E-01 4.4846E-02  1.9918E-01 1.0000E+00 3.2619E-03     2
1.9524E-02 3.4500E-01 4.8166E-01 4.4851E-01 3.3234E-02  1.5330E-01 1.0000E+00 2.5397E-03     2
1.9524E-02 3.5000E-01 3.4196E-01 3.1480E-01 2.6810E-02  1.3531E-01 1.0000E+00 2.1146E-03     2
1.9524E-02 3.5500E-01 2.8537E-01 2.6068E-01 2.3977E-02  1.1484E-01 1.0000E+00 2.0071E-03     2
1.9524E-02 3.6000E-01 2.8920E-01 2.6404E-01 2.4086E-02  1.0718E-01 1.0000E+00 2.1211E-03     2
1.9524E-02 3.6500E-01 3.2762E-01 3.0116E-01 2.5298E-02  9.4223E-02 1.0000E+00 2.3119E-03     2
1.9524E-02 3.7000E-01 3.3108E-01 3.0776E-01 2.2260E-02  9.3975E-02 1.0000E+00 2.0556E-03     2
1.9524E-02 3.7500E-01 2.8680E-01 2.6474E-01 2.0950E-02  1.0012E-01 1.0000E+00 1.9667E-03     2
1.9524E-02 3.8000E-01 2.9448E-01 2.7133E-01 2.2314E-02  1.1140E-01 1.0000E+00 2.1177E-03     2
1.9524E-02 3.8500E-01 3.3669E-01 3.0983E-01 2.6139E-02  1.1173E-01 1.0000E+00 2.4921E-03     2
1.9524E-02 3.9000E-01 4.9185E-01 4.5938E-01 3.2645E-02  1.3834E-01 1.0000E+00 3.0082E-03     2
1.9524E-02 3.9500E-01 6.0583E-01 5.6449E-01 4.0832E-02  1.5118E-01 1.0000E+00 3.5939E-03     2
1.9524E-02 4.0000E-01 5.4882E-01 5.0025E-01 4.6943E-02  1.3699E-01 1.0000E+00 4.0734E-03     2
1.9524E-02 4.0500E-01 4.1838E-01 3.7105E-01 4.5105E-02  1.1411E-01 1.0000E+00 4.0849E-03     2
1.9524E-02 4.1000E-01 4.1327E-01 3.6172E-01 4.9146E-02  1.0570E-01 1.0000E+00 4.4730E-03     2
1.9524E-02 4.1500E-01 3.6537E-01 3.1003E-01 5.2732E-02  9.9905E-02 1.0000E+00 4.8206E-03     2
1.9524E-02 4.2000E-01 3.0364E-01 2.4481E-01 5.6254E-02  9.2366E-02 1.0000E+00 5.1711E-03     2
1.9524E-02 4.2500E-01 2.7106E-01 2.1012E-01 5.8447E-02  8.8908E-02 1.0000E+00 5.4305E-03     2
1.9524E-02 4.3000E-01 2.5228E-01 1.8950E-01 6.0254E-02  8.8609E-02 1.0000E+00 5.6640E-03     2
1.9524E-02 4.3500E-01 2.6089E-01 1.9536E-01 6.2959E-02  8.9595E-02 1.0000E+00 5.9527E-03     2
1.9524E-02 4.4000E-01 2.6366E-01 1.9345E-01 6.7589E-02  8.1189E-02 1.0000E+00 6.4863E-03     2
1.9524E-02 4.4500E-01 3.0410E-01 2.2712E-01 7.4259E-02  7.9932E-02 1.0000E+00 7.1613E-03     2
1.9524E-02 4.5000E-01 3.8381E-01 3.0412E-01 7.7007E-02  8.5981E-02 1.0000E+00 7.4344E-03     2
1.9524E-02 4.5500E-01 3.7766E-01 2.9750E-01 7.7520E-02  9.5254E-02 1.0000E+00 7.4053E-03     2
1.9524E-02 4.6000E-01 3.7301E-01 2.8507E-01 8.5271E-02  8.8813E-02 1.0000E+00 8.2130E-03     2
1.9524E-02 4.6500E-01 3.8382E-01 2.8720E-01 9.3920E-02  8.0706E-02 1.0000E+00 9.1470E-03     2
1.9524E-02 4.7000E-01 4.2162E-01 3.1499E-01 1.0384E-01  9.4149E-02 1.0000E+00 1.0014E-02     2
1.9524E-02 4.7500E-01 4.8216E-01 3.6590E-01 1.1347E-01  1.0469E-01 1.0000E+00 1.0841E-02     2
1.9524E-02 4.8000E-01 5.3850E-01 4.1296E-01 1.2283E-01  1.1839E-01 1.0000E+00 1.1553E-02     2
1.9524E-02 4.8500E-01 6.1389E-01 4.7701E-01 1.3462E-01  1.3749E-01 1.0000E+00 1.2352E-02     2
1.9524E-02 4.9000E-01 7.8028E-01 6.2822E-01 1.5036E-01  8.3266E-02 1.0000E+00 1.4627E-02     2
1.9524E-02 4.9500E-01 7.6586E-01 5.9905E-01 1.6521E-01 -3.8485E-02 1.0000E+00 1.8141E-02     2
1.9524E-02 5.0000E-01 7.3574E-01 5.5296E-01 1.8130E-01 -5.8721E-02 1.0000E+00 2.0281E-02     2
1.9524E-02 5.0500E-01 7.2830E-01 5.2354E-01 2.0348E-01 -5.5925E-02 1.0000E+00 2.2703E-02     2
1.9524E-02 5.1000E-01 7.7014E-01 5.3851E-01 2.3051E-01 -4.6022E-02 1.0000E+00 2.5509E-02     2
1.9524E-02 5.1500E-01 8.7958E-01 6.1305E-01 2.6549E-01 -3.7117E-02 1.0000E+00 2.9179E-02     2
1.9524E-02 5.2000E-01 1.0244E+00 7.2387E-01 2.9951E-01 -2.7876E-02 1.0000E+00 3.2671E-02     2
1.9524E-02 5.2500E-01 1.1962E+00 8.4987E-01 3.4539E-01 -2.0838E-02 1.0000E+00 3.7470E-02     2
1.9524E-02 5.3000E-01 1.4610E+00 1.0638E+00 3.9626E-01 -1.6366E-02 1.0000E+00 4.2871E-02     2
1.9524E-02 5.3500E-01 1.6322E+00 1.1837E+00 4.4768E-01 -1.3269E-02 1.0000E+00 4.8335E-02     2
1.9524E-02 5.4000E-01 1.8445E+00 1.3067E+00 5.3705E-01 -1.0384E-02 1.0000E+00 5.7865E-02     2
1.9524E-02 5.4500E-01 2.2329E+00 1.5687E+00 6.6343E-01 -8.1711E-03 1.0000E+00 7.1408E-02     2
1.9524E-02 5.5000E-01 2.7893E+00 1.9631E+00 8.2546E-01 -6.4925E-03 1.0000E+00 8.8801E-02     2
1.9524E-02 5.5500E-01 3.4048E+00 2.3780E+00 1.0261E+00 -5.0674E-03 1.0000E+00 1.1030E-01     2
1.9524E-02 5.6000E-01 4.2763E+00 2.9415E+00 1.3342E+00 -3.8023E-03 1.0000E+00 1.4330E-01     2
1.9524E-02 5.6500E-01 5.7879E+00 3.9677E+00 1.8197E+00 -2.7096E-03 1.0000E+00 1.9538E-01     2
1.9524E-02 5.7000E-01 8.2541E+00 5.7368E+00 2.5170E+00 -1.8252E-03 1.0000E+00 2.7022E-01     2
1.9524E-02 5.7500E-01 1.2010E+01 8.5055E+00 3.5046E+00 -1.1219E-03 1.0000E+00 3.7630E-01     2
1.9524E-02 5.8000E-01 1.6584E+01 1.2332E+01 4.2528E+00 -5.3027E-04 1.0000E+00 4.5736E-01     2
1.9524E-02 5.8500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 5.9000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 5.9500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.0000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.0500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.1000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.1500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.2000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.2500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.3000E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
1.9524E-02 6.3500E-01        NaN        NaN        NaN         NaN        NaN        NaN     2
