 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  28125 NFAC=3125 NLAY=   9 asp.ratio= 0.1427      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  28125 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.8850E-02 5.0000E-01 7.9547E-01 6.5653E-01 1.3757E-01  3.9451E-02 1.0000E+00 1.4080E-02     2
1.8850E-02 5.0500E-01 7.1198E-01 5.6258E-01 1.4816E-01 -8.1942E-02 1.0000E+00 1.6999E-02     2
1.8850E-02 5.1000E-01 6.2113E-01 4.5809E-01 1.6196E-01 -7.9440E-02 1.0000E+00 1.8507E-02     2
1.8850E-02 5.1500E-01 6.2041E-01 4.3810E-01 1.8143E-01 -6.3380E-02 1.0000E+00 2.0426E-02     2
1.8850E-02 5.2000E-01 6.5923E-01 4.5497E-01 2.0349E-01 -5.1730E-02 1.0000E+00 2.2689E-02     2
1.8850E-02 5.2500E-01 7.2123E-01 4.8959E-01 2.3095E-01 -3.9116E-02 1.0000E+00 2.5482E-02     2
1.8850E-02 5.3000E-01 8.3380E-01 5.6766E-01 2.6548E-01 -2.9176E-02 1.0000E+00 2.9061E-02     2
1.8850E-02 5.3500E-01 9.7696E-01 6.7050E-01 3.0582E-01 -2.2155E-02 1.0000E+00 3.3302E-02     2
1.8850E-02 5.4000E-01 1.1597E+00 8.0428E-01 3.5478E-01 -1.6993E-02 1.0000E+00 3.8495E-02     2
1.8850E-02 5.4500E-01 1.3913E+00 9.7773E-01 4.1300E-01 -1.3131E-02 1.0000E+00 4.4705E-02     2
1.8850E-02 5.5000E-01 1.6283E+00 1.1484E+00 4.7931E-01 -1.0393E-02 1.0000E+00 5.1805E-02     2
1.8850E-02 5.5500E-01 1.8517E+00 1.2858E+00 5.6539E-01 -8.3837E-03 1.0000E+00 6.1044E-02     2
1.8850E-02 5.6000E-01 2.1830E+00 1.5015E+00 6.8103E-01 -6.6900E-03 1.0000E+00 7.3477E-02     2
1.8850E-02 5.6500E-01 2.6140E+00 1.7834E+00 8.3017E-01 -5.3365E-03 1.0000E+00 8.9529E-02     2
1.8850E-02 5.7000E-01 3.2283E+00 2.1885E+00 1.0394E+00 -4.1799E-03 1.0000E+00 1.1207E-01     2
1.8850E-02 5.7500E-01 4.1272E+00 2.8066E+00 1.3203E+00 -3.2019E-03 1.0000E+00 1.4233E-01     2
1.8850E-02 5.8000E-01 5.2347E+00 3.5547E+00 1.6798E+00 -2.4389E-03 1.0000E+00 1.8109E-01     2
1.8850E-02 5.8500E-01 6.9037E+00 4.5923E+00 2.3113E+00 -1.7594E-03 1.0000E+00 2.4916E-01     2
1.8850E-02 5.9000E-01 1.0269E+01 6.8040E+00 3.4651E+00 -1.1494E-03 1.0000E+00 3.7355E-01     2
1.8850E-02 5.9500E-01 1.6286E+01 1.0974E+01 5.3128E+00 -6.4865E-04 1.0000E+00 5.7294E-01     2
1.8850E-02 6.0000E-01 2.3979E+01 1.6624E+01 7.3569E+00 -2.6516E-04 1.0000E+00 7.9402E-01     2
1.8850E-02 6.0500E-01 2.9568E+01 2.0919E+01 8.6518E+00  1.8546E-05 1.0000E+00 9.3502E-01     2
1.8850E-02 6.1000E-01 2.9018E+01 2.0889E+01 8.1345E+00  2.2867E-04 1.0000E+00 8.8043E-01     2
1.8850E-02 6.1500E-01 2.4522E+01 1.7737E+01 6.7890E+00  3.7332E-04 1.0000E+00 7.3571E-01     2
1.8850E-02 6.2000E-01 1.8793E+01 1.3443E+01 5.3547E+00  4.7963E-04 1.0000E+00 5.8083E-01     2
1.8850E-02 6.2500E-01 1.3175E+01 9.2920E+00 3.8856E+00  5.6440E-04 1.0000E+00 4.2176E-01     2
1.8850E-02 6.3000E-01 9.1178E+00 6.3698E+00 2.7500E+00  6.2745E-04 1.0000E+00 2.9861E-01     2
1.8850E-02 6.3500E-01 6.4339E+00 4.4647E+00 1.9707E+00  6.7680E-04 1.0000E+00 2.1406E-01     2
1.8850E-02 6.4000E-01 4.7468E+00 3.2995E+00 1.4484E+00  7.1584E-04 1.0000E+00 1.5739E-01     2
1.8850E-02 6.4500E-01 3.6593E+00 2.5618E+00 1.0984E+00  7.2135E-04 1.0000E+00 1.1939E-01     2
1.8850E-02 6.5000E-01 2.9886E+00 2.1347E+00 8.5471E-01  7.0046E-04 1.0000E+00 9.2938E-02     2
1.8850E-02 6.5500E-01 2.6569E+00 1.9586E+00 6.9914E-01  6.4345E-04 1.0000E+00 7.6039E-02     2
1.8850E-02 6.6000E-01 2.3172E+00 1.7079E+00 6.1009E-01  5.4206E-04 1.0000E+00 6.6378E-02     2
1.8850E-02 6.6500E-01 1.8596E+00 1.3424E+00 5.1770E-01  4.4296E-04 1.0000E+00 5.6361E-02     2
1.8850E-02 6.7000E-01 1.5782E+00 1.1419E+00 4.3677E-01  3.3850E-04 1.0000E+00 4.7570E-02     2
1.8850E-02 6.7500E-01 1.3505E+00 9.6864E-01 3.8225E-01  2.6245E-04 1.0000E+00 4.1654E-02     2
1.8850E-02 6.8000E-01 1.0718E+00 7.4161E-01 3.3051E-01  2.5472E-04 1.0000E+00 3.6036E-02     2
1.8850E-02 6.8500E-01 8.8203E-01 6.0012E-01 2.8217E-01  1.9283E-04 1.0000E+00 3.0783E-02     2
1.8850E-02 6.9000E-01 7.6197E-01 5.1808E-01 2.4412E-01  1.8033E-04 1.0000E+00 2.6643E-02     2
1.8850E-02 6.9500E-01 6.6899E-01 4.5772E-01 2.1148E-01  1.1789E-04 1.0000E+00 2.3091E-02     2
1.8850E-02 7.0000E-01 6.4326E-01 4.5942E-01 1.8408E-01 -4.3413E-05 1.0000E+00 2.0105E-02     2
