 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  17784 NFAC=1976 NLAY=   9 asp.ratio= 0.1794      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  17784 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6158E-02 3.0000E-01 6.1688E-01 6.0928E-01 1.0106E-02  9.3453E-02 1.0000E+00 7.9575E-04     2
1.6158E-02 3.0500E-01 5.1647E-01 5.1145E-01 6.9092E-03  9.1339E-02 1.0000E+00 5.3107E-04     2
1.6158E-02 3.1000E-01 4.1597E-01 4.1270E-01 4.6039E-03  8.9200E-02 1.0000E+00 3.4833E-04     2
1.6158E-02 3.1500E-01 3.1855E-01 3.1606E-01 3.5177E-03  8.6566E-02 1.0000E+00 2.6687E-04     2
1.6158E-02 3.2000E-01 2.8264E-01 2.7924E-01 4.5655E-03  8.3244E-02 1.0000E+00 3.6255E-04     2
1.6158E-02 3.2500E-01 4.6747E-01 4.5721E-01 1.2223E-02  7.7300E-02 1.0000E+00 1.0505E-03     2
1.6158E-02 3.3000E-01 9.6894E-01 9.3058E-01 4.1073E-02  6.1095E-02 1.0000E+00 3.6896E-03     2
1.6158E-02 3.3500E-01 9.8082E-01 9.2505E-01 5.7212E-02  5.7048E-02 1.0000E+00 4.9508E-03     2
1.6158E-02 3.4000E-01 5.4797E-01 5.2365E-01 2.4921E-02  1.2274E-01 1.0000E+00 1.9468E-03     2
1.6158E-02 3.4500E-01 4.2436E-01 4.0752E-01 1.7096E-02  9.7298E-02 1.0000E+00 1.3775E-03     2
1.6158E-02 3.5000E-01 3.0701E-01 2.9346E-01 1.3354E-02  8.2826E-02 1.0000E+00 1.1205E-03     2
1.6158E-02 3.5500E-01 2.6207E-01 2.4978E-01 1.1812E-02  7.0927E-02 1.0000E+00 1.0537E-03     2
1.6158E-02 3.6000E-01 2.8722E-01 2.7452E-01 1.2214E-02  6.4244E-02 1.0000E+00 1.1355E-03     2
1.6158E-02 3.6500E-01 3.2920E-01 3.1668E-01 1.2252E-02  6.2855E-02 1.0000E+00 1.1316E-03     2
1.6158E-02 3.7000E-01 2.6832E-01 2.5695E-01 1.0920E-02  6.6395E-02 1.0000E+00 1.0257E-03     2
1.6158E-02 3.7500E-01 2.2869E-01 2.1630E-01 1.1734E-02  6.8388E-02 1.0000E+00 1.1362E-03     2
1.6158E-02 3.8000E-01 2.2741E-01 2.1360E-01 1.3172E-02  6.9550E-02 1.0000E+00 1.2996E-03     2
1.6158E-02 3.8500E-01 2.6919E-01 2.5381E-01 1.5047E-02  6.9922E-02 1.0000E+00 1.4976E-03     2
1.6158E-02 3.9000E-01 3.8002E-01 3.6195E-01 1.8291E-02  7.1842E-02 1.0000E+00 1.7963E-03     2
1.6158E-02 3.9500E-01 5.7731E-01 5.5308E-01 2.4743E-02  7.8139E-02 1.0000E+00 2.3189E-03     2
1.6158E-02 4.0000E-01 5.3524E-01 5.0752E-01 2.7037E-02  7.5322E-02 1.0000E+00 2.5065E-03     2
1.6158E-02 4.0500E-01 4.3603E-01 4.0661E-01 2.7997E-02  6.7526E-02 1.0000E+00 2.6293E-03     2
1.6158E-02 4.1000E-01 3.7609E-01 3.4537E-01 2.8969E-02  6.2376E-02 1.0000E+00 2.7653E-03     2
1.6158E-02 4.1500E-01 3.3323E-01 3.0012E-01 3.1137E-02  5.9558E-02 1.0000E+00 2.9852E-03     2
1.6158E-02 4.2000E-01 2.7798E-01 2.4312E-01 3.2838E-02  5.5734E-02 1.0000E+00 3.1712E-03     2
1.6158E-02 4.2500E-01 2.4509E-01 2.0873E-01 3.4407E-02  5.3863E-02 1.0000E+00 3.3501E-03     2
1.6158E-02 4.3000E-01 2.3149E-01 1.9329E-01 3.6325E-02  5.3364E-02 1.0000E+00 3.5572E-03     2
1.6158E-02 4.3500E-01 2.2559E-01 1.8562E-01 3.8195E-02  5.3705E-02 1.0000E+00 3.7546E-03     2
1.6158E-02 4.4000E-01 2.1558E-01 1.7316E-01 4.0683E-02  5.4764E-02 1.0000E+00 4.0115E-03     2
1.6158E-02 4.4500E-01 2.1851E-01 1.7247E-01 4.4323E-02  5.7499E-02 1.0000E+00 4.3762E-03     2
1.6158E-02 4.5000E-01 2.3052E-01 1.8003E-01 4.8765E-02  6.1931E-02 1.0000E+00 4.8118E-03     2
1.6158E-02 4.5500E-01 2.7009E-01 2.1379E-01 5.4523E-02  6.8899E-02 1.0000E+00 5.3699E-03     2
1.6158E-02 4.6000E-01 3.3066E-01 2.6824E-01 6.0574E-02  7.8354E-02 1.0000E+00 5.9369E-03     2
1.6158E-02 4.6500E-01 4.0037E-01 3.3071E-01 6.7816E-02  8.9297E-02 1.0000E+00 6.5851E-03     2
1.6158E-02 4.7000E-01 4.8730E-01 4.0969E-01 7.5905E-02  7.4683E-02 1.0000E+00 7.4804E-03     2
1.6158E-02 4.7500E-01 5.5353E-01 4.6695E-01 8.5046E-02  2.9173E-02 1.0000E+00 8.7724E-03     2
1.6158E-02 4.8000E-01 5.6015E-01 4.6337E-01 9.5347E-02 -3.8128E-02 1.0000E+00 1.0499E-02     2
1.6158E-02 4.8500E-01 5.3518E-01 4.2589E-01 1.0795E-01 -5.1399E-02 1.0000E+00 1.2033E-02     2
1.6158E-02 4.9000E-01 5.6527E-01 4.4051E-01 1.2355E-01 -3.9410E-02 1.0000E+00 1.3623E-02     2
1.6158E-02 4.9500E-01 6.3363E-01 4.9058E-01 1.4195E-01 -2.8528E-02 1.0000E+00 1.5504E-02     2
1.6158E-02 5.0000E-01 7.2995E-01 5.6438E-01 1.6455E-01 -2.0602E-02 1.0000E+00 1.7859E-02     2
1.6158E-02 5.0500E-01 8.4404E-01 6.4997E-01 1.9314E-01 -1.5122E-02 1.0000E+00 2.0877E-02     2
1.6158E-02 5.1000E-01 9.9895E-01 7.6694E-01 2.3116E-01 -1.1436E-02 1.0000E+00 2.4930E-02     2
1.6158E-02 5.1500E-01 1.2035E+00 9.1908E-01 2.8365E-01 -8.7973E-03 1.0000E+00 3.0551E-02     2
1.6158E-02 5.2000E-01 1.5479E+00 1.1910E+00 3.5625E-01 -6.5636E-03 1.0000E+00 3.8341E-02     2
1.6158E-02 5.2500E-01 2.0685E+00 1.6148E+00 4.5297E-01 -4.8034E-03 1.0000E+00 4.8739E-02     2
1.6158E-02 5.3000E-01 2.7796E+00 2.1939E+00 5.8510E-01 -3.4819E-03 1.0000E+00 6.2959E-02     2
1.6158E-02 5.3500E-01 3.7268E+00 2.9430E+00 7.8329E-01 -2.4749E-03 1.0000E+00 8.4294E-02     2
1.6158E-02 5.4000E-01 5.3282E+00 4.2018E+00 1.1262E+00 -1.6662E-03 1.0000E+00 1.2123E-01     2
1.6158E-02 5.4500E-01 8.1544E+00 6.4758E+00 1.6789E+00 -1.0450E-03 1.0000E+00 1.8081E-01     2
1.6158E-02 5.5000E-01 1.2303E+01 9.8166E+00 2.4877E+00 -5.9017E-04 1.0000E+00 2.6805E-01     2
1.6158E-02 5.5500E-01 1.8474E+01 1.4624E+01 3.8523E+00 -2.5023E-04 1.0000E+00 4.1540E-01     2
1.6158E-02 5.6000E-01 2.4856E+01 1.9646E+01 5.2152E+00  3.2423E-05 1.0000E+00 5.6331E-01     2
1.6158E-02 5.6500E-01 2.4492E+01 1.9363E+01 5.1349E+00  2.3475E-04 1.0000E+00 5.5564E-01     2
1.6158E-02 5.7000E-01 1.8339E+01 1.4408E+01 3.9361E+00  3.8739E-04 1.0000E+00 4.2657E-01     2
1.6158E-02 5.7500E-01 1.1955E+01 9.3533E+00 2.6053E+00  4.9599E-04 1.0000E+00 2.8258E-01     2
1.6158E-02 5.8000E-01 7.5930E+00 5.9267E+00 1.6689E+00  5.7753E-04 1.0000E+00 1.8114E-01     2
1.6158E-02 5.8500E-01 5.4124E+00 4.3047E+00 1.1099E+00  6.3755E-04 1.0000E+00 1.2049E-01     2
1.6158E-02 5.9000E-01 4.0291E+00 3.1964E+00 8.3432E-01  6.3898E-04 1.0000E+00 9.0632E-02     2
1.6158E-02 5.9500E-01 2.8525E+00 2.2460E+00 6.0768E-01  6.5520E-04 1.0000E+00 6.6064E-02     2
1.6158E-02 6.0000E-01 2.1619E+00 1.7067E+00 4.5614E-01  6.8690E-04 1.0000E+00 4.9621E-02     2
1.6158E-02 6.0500E-01 1.7129E+00 1.3627E+00 3.5100E-01  6.5784E-04 1.0000E+00 3.8206E-02     2
1.6158E-02 6.1000E-01 1.4298E+00 1.1537E+00 2.7684E-01  6.0359E-04 1.0000E+00 3.0145E-02     2
1.6158E-02 6.1500E-01 1.3069E+00 1.0827E+00 2.2501E-01  5.4837E-04 1.0000E+00 2.4498E-02     2
