 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET --- Cyl.prism, NAT=  21736 NFAC=1976 NLAY=  11 asp.ratio= 0.2193      
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
  21736 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.7276E-02 3.0000E-01 6.7187E-01 6.6181E-01 1.3050E-02  9.4514E-02 1.0000E+00 1.0581E-03     2
1.7276E-02 3.0500E-01 5.6115E-01 5.5451E-01 8.9619E-03  9.2191E-02 1.0000E+00 7.0495E-04     2
1.7276E-02 3.1000E-01 4.4919E-01 4.4489E-01 5.9714E-03  8.9736E-02 1.0000E+00 4.5987E-04     2
1.7276E-02 3.1500E-01 3.3891E-01 3.3569E-01 4.4963E-03  8.6817E-02 1.0000E+00 3.4732E-04     2
1.7276E-02 3.2000E-01 2.9295E-01 2.8866E-01 5.6188E-03  8.3378E-02 1.0000E+00 4.6016E-04     2
1.7276E-02 3.2500E-01 4.5832E-01 4.4613E-01 1.4141E-02  7.7570E-02 1.0000E+00 1.2670E-03     2
1.7276E-02 3.3000E-01 9.0158E-01 8.5867E-01 4.5407E-02  6.2573E-02 1.0000E+00 4.2373E-03     2
1.7276E-02 3.3500E-01 1.4531E+00 1.3494E+00 1.0595E-01  4.0654E-02 1.0000E+00 9.6444E-03     2
1.7276E-02 3.4000E-01 7.6707E-01 7.2178E-01 4.6216E-02  8.4437E-02 1.0000E+00 3.8343E-03     2
1.7276E-02 3.4500E-01 5.3122E-01 5.0685E-01 2.4778E-02  1.0549E-01 1.0000E+00 1.9959E-03     2
1.7276E-02 3.5000E-01 3.9190E-01 3.7285E-01 1.8893E-02  8.5460E-02 1.0000E+00 1.5827E-03     2
1.7276E-02 3.5500E-01 3.3586E-01 3.1907E-01 1.6266E-02  7.1989E-02 1.0000E+00 1.4509E-03     2
1.7276E-02 3.6000E-01 3.5511E-01 3.3947E-01 1.5213E-02  6.8898E-02 1.0000E+00 1.4025E-03     2
1.7276E-02 3.6500E-01 3.4065E-01 3.2449E-01 1.5588E-02  7.5613E-02 1.0000E+00 1.4460E-03     2
1.7276E-02 3.7000E-01 3.1140E-01 2.9356E-01 1.7014E-02  7.9200E-02 1.0000E+00 1.6123E-03     2
1.7276E-02 3.7500E-01 3.0213E-01 2.8218E-01 1.9036E-02  7.5652E-02 1.0000E+00 1.8424E-03     2
1.7276E-02 3.8000E-01 3.1593E-01 2.9386E-01 2.1290E-02  6.9017E-02 1.0000E+00 2.1008E-03     2
1.7276E-02 3.8500E-01 3.5514E-01 3.3121E-01 2.3538E-02  6.3716E-02 1.0000E+00 2.3536E-03     2
1.7276E-02 3.9000E-01 4.5231E-01 4.2553E-01 2.7160E-02  6.2669E-02 1.0000E+00 2.7204E-03     2
1.7276E-02 3.9500E-01 6.7555E-01 6.4068E-01 3.6163E-02  6.6529E-02 1.0000E+00 3.5198E-03     2
1.7276E-02 4.0000E-01 8.0533E-01 7.6014E-01 4.5559E-02  7.3417E-02 1.0000E+00 4.2287E-03     2
1.7276E-02 4.0500E-01 6.9398E-01 6.4387E-01 4.8894E-02  7.0360E-02 1.0000E+00 4.4857E-03     2
1.7276E-02 4.1000E-01 5.7087E-01 5.1916E-01 4.9647E-02  6.4996E-02 1.0000E+00 4.6168E-03     2
1.7276E-02 4.1500E-01 4.9613E-01 4.4167E-01 5.1951E-02  6.1293E-02 1.0000E+00 4.8905E-03     2
1.7276E-02 4.2000E-01 4.3070E-01 3.7307E-01 5.4899E-02  5.8563E-02 1.0000E+00 5.2016E-03     2
1.7276E-02 4.2500E-01 3.8450E-01 3.2417E-01 5.7472E-02  5.8133E-02 1.0000E+00 5.5014E-03     2
1.7276E-02 4.3000E-01 3.5146E-01 2.8777E-01 6.0800E-02  5.9469E-02 1.0000E+00 5.8517E-03     2
1.7276E-02 4.3500E-01 3.3303E-01 2.6531E-01 6.4802E-02  6.2529E-02 1.0000E+00 6.2706E-03     2
1.7276E-02 4.4000E-01 3.3251E-01 2.5816E-01 7.1377E-02  6.7648E-02 1.0000E+00 6.9230E-03     2
1.7276E-02 4.4500E-01 3.5512E-01 2.7273E-01 7.9414E-02  7.6515E-02 1.0000E+00 7.6843E-03     2
1.7276E-02 4.5000E-01 4.1336E-01 3.2077E-01 8.9504E-02  9.0758E-02 1.0000E+00 8.5940E-03     2
1.7276E-02 4.5500E-01 5.4459E-01 4.3783E-01 1.0365E-01  8.9522E-02 1.0000E+00 1.0011E-02     2
1.7276E-02 4.6000E-01 6.7183E-01 5.4986E-01 1.1905E-01  5.7000E-03 1.0000E+00 1.2526E-02     2
1.7276E-02 4.6500E-01 6.7113E-01 5.3037E-01 1.3794E-01 -4.4427E-02 1.0000E+00 1.5229E-02     2
1.7276E-02 4.7000E-01 7.0798E-01 5.4572E-01 1.5969E-01 -3.5285E-02 1.0000E+00 1.7486E-02     2
1.7276E-02 4.7500E-01 7.7941E-01 5.8955E-01 1.8757E-01 -2.8645E-02 1.0000E+00 2.0424E-02     2
1.7276E-02 4.8000E-01 8.8204E-01 6.5746E-01 2.2258E-01 -2.2047E-02 1.0000E+00 2.4105E-02     2
1.7276E-02 4.8500E-01 1.0290E+00 7.5822E-01 2.6908E-01 -1.6220E-02 1.0000E+00 2.9012E-02     2
1.7276E-02 4.9000E-01 1.2551E+00 9.2315E-01 3.3039E-01 -1.1833E-02 1.0000E+00 3.5531E-02     2
1.7276E-02 4.9500E-01 1.5689E+00 1.1570E+00 4.1047E-01 -8.6764E-03 1.0000E+00 4.4093E-02     2
1.7276E-02 5.0000E-01 2.0049E+00 1.4809E+00 5.2279E-01 -6.2926E-03 1.0000E+00 5.6139E-02     2
1.7276E-02 5.0500E-01 2.6294E+00 1.9375E+00 6.9079E-01 -4.4871E-03 1.0000E+00 7.4190E-02     2
1.7276E-02 5.1000E-01 3.5955E+00 2.6453E+00 9.4921E-01 -3.1571E-03 1.0000E+00 1.0200E-01     2
1.7276E-02 5.1500E-01 5.2558E+00 3.8381E+00 1.4169E+00 -2.1183E-03 1.0000E+00 1.5236E-01     2
1.7276E-02 5.2000E-01 8.4916E+00 6.2841E+00 2.2071E+00 -1.2695E-03 1.0000E+00 2.3755E-01     2
1.7276E-02 5.2500E-01 1.3528E+01 1.0173E+01 3.3553E+00 -6.3264E-04 1.0000E+00 3.6157E-01     2
1.7276E-02 5.3000E-01 2.0156E+01 1.5269E+01 4.8890E+00 -1.4444E-04 1.0000E+00 5.2765E-01     2
1.7276E-02 5.3500E-01 2.3320E+01 1.7705E+01 5.6193E+00  2.0984E-04 1.0000E+00 6.0764E-01     2
1.7276E-02 5.4000E-01 1.8623E+01 1.4122E+01 4.5056E+00  4.8291E-04 1.0000E+00 4.8821E-01     2
1.7276E-02 5.4500E-01 1.1918E+01 9.0922E+00 2.8295E+00  6.8017E-04 1.0000E+00 3.0702E-01     2
1.7276E-02 5.5000E-01 7.8560E+00 6.0298E+00 1.8289E+00  7.9865E-04 1.0000E+00 1.9863E-01     2
1.7276E-02 5.5500E-01 5.4150E+00 4.1238E+00 1.2931E+00  8.4861E-04 1.0000E+00 1.4059E-01     2
1.7276E-02 5.6000E-01 3.7543E+00 2.8331E+00 9.2259E-01  8.7086E-04 1.0000E+00 1.0042E-01     2
1.7276E-02 5.6500E-01 2.7744E+00 2.0940E+00 6.8152E-01  8.7106E-04 1.0000E+00 7.4252E-02     2
1.7276E-02 5.7000E-01 2.1213E+00 1.5981E+00 5.2409E-01  8.3901E-04 1.0000E+00 5.7154E-02     2
1.7276E-02 5.7500E-01 1.6743E+00 1.2596E+00 4.1541E-01  7.6955E-04 1.0000E+00 4.5343E-02     2
1.7276E-02 5.8000E-01 1.3289E+00 9.9527E-01 3.3423E-01  6.7886E-04 1.0000E+00 3.6519E-02     2
1.7276E-02 5.8500E-01 1.1377E+00 8.6560E-01 2.7265E-01  6.0681E-04 1.0000E+00 2.9812E-02     2
1.7276E-02 5.9000E-01 9.6121E-01 7.3046E-01 2.3122E-01  4.7827E-04 1.0000E+00 2.5304E-02     2
1.7276E-02 5.9500E-01 7.8799E-01 5.9566E-01 1.9272E-01  3.6337E-04 1.0000E+00 2.1112E-02     2
1.7276E-02 6.0000E-01 6.8348E-01 5.2005E-01 1.6378E-01  3.2248E-04 1.0000E+00 1.7955E-02     2
1.7276E-02 6.0500E-01 5.8517E-01 4.4557E-01 1.3991E-01  2.5575E-04 1.0000E+00 1.5352E-02     2
1.7276E-02 6.1000E-01 5.2319E-01 4.0358E-01 1.1990E-01  1.1461E-04 1.0000E+00 1.3166E-02     2
1.7276E-02 6.1500E-01 5.0268E-01 3.9922E-01 1.0378E-01 -5.3819E-05 1.0000E+00 1.1400E-02     2
