Refractive Index of AgNPs, from Johnson and Christy, 1972
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA   	Re(n)     	Im(n)
  0.188 	0.722		0.818
  0.192  	0.748		0.837
  0.195		0.766		0.858
  0.199		0.785		0.879
  0.203		0.795		0.896
  0.207		0.820		0.912
  0.212		0.838		0.925
  0.216		0.856		0.937
  0.221		0.880		0.945
  0.226		0.891		0.950
  0.231		0.908		0.963
  0.237		0.911		0.973
  0.243		0.928		0.984
  0.249		0.939		0.995
  0.255		0.956		1.001
  0.262		0.973		0.999
  0.269		0.997		0.991
  0.276		1.021		0.964
  0.284		1.024		0.918
  0.292		1.012		0.845
  0.301		0.977		0.703
  0.311		0.826		0.450
  0.320		0.593		0.287
  0.332		0.125		0.609
  0.343		0.103		0.840
  0.354		0.074		1.045
  0.368		0.052		1.223
  0.382		0.037		1.378
  0.397		0.037		1.533
  0.413		0.037		1.688
  0.431		0.030		1.829
  0.451		0.030		1.977
  0.471		0.037		2.138
  0.496		0.037		2.309
  0.521		0.037		2.485
  0.549		0.045		2.684
  0.582		0.037		2.892
  0.617		0.045		3.117
  0.660		0.038		3.370
  0.705		0.030		3.641
  0.756		0.023		3.950
  0.821		0.030		4.321
  0.892		0.030		4.768
  0.984		0.030		5.289
  1.088		0.030		5.905
  1.216		0.068		6.700
  1.393		0.100		7.686
  1.610		0.115		9.050
  1.938		0.201		10.842
